period,dim1,dim2,gl_account,line_type,forecast_amount,actual_amount,variance_abs,variance_pct,plan_type
2026-07-01,CC200,1000,600200,Opex,41386.31,43146.62,1760.310000000005,0.04253363008202483,Forecast
2026-07-01,CC200,1000,620000,Opex,11395.5,9457.19,-1938.3099999999995,-0.17009433548330477,Forecast
2026-07-01,CC200,1000,630000,Opex,48577.39,49441.84,864.4499999999971,0.017795315886670673,Forecast
2026-07-01,CC200,1000,640000,Opex,21535.49,23794.94,2259.449999999997,0.10491751058369217,Forecast
2026-07-01,CC200,1000,660000,Opex,20503.88,17867.04,-2636.84,-0.12860200118221526,Forecast
2026-07-01,CC200,2000,600000,Opex,289596.1,302815.66,13219.559999999998,0.045648266672099515,Forecast
2026-07-01,CC200,2000,600100,Opex,61149.75,62131.45,981.6999999999971,0.016054031292033036,Forecast
2026-07-01,CC200,2000,600200,Opex,22335.76,22380.96,45.20000000000073,0.002023660712686774,Forecast
2026-07-01,CC200,2000,620000,Opex,5315.01,5614.07,299.0599999999995,0.056267062526693175,Forecast
2026-07-01,CC200,2000,630000,Opex,26980.89,24380.53,-2600.3600000000006,-0.09637784372568883,Forecast
2026-07-01,CC200,2000,640000,Opex,10695.77,14773.23,4077.459999999999,0.3812217353215336,Forecast
2026-07-01,CC200,2000,660000,Opex,10974.03,12005.41,1031.3799999999992,0.09398370516574123,Forecast
2026-07-01,CC200,3000,600000,Opex,148068.68,149144.54,1075.8600000000151,0.007265952529596503,Forecast
2026-07-01,CC200,3000,600100,Opex,31031.73,29701.26,-1330.4700000000012,-0.04287450296841334,Forecast
2026-07-01,CC200,3000,600200,Opex,11145.48,11584.34,438.8600000000006,0.03937560338361386,Forecast
2026-07-01,CC200,3000,620000,Opex,2866.92,2872.67,5.75,0.0020056367111743615,Forecast
2026-07-01,CC200,3000,630000,Opex,12596.96,13201.05,604.0900000000001,0.04795522094219559,Forecast
2026-07-01,CC200,3000,640000,Opex,5935.41,5579.55,-355.8599999999997,-0.059955420097347896,Forecast
2026-07-01,CC200,3000,660000,Opex,5891.97,5888.76,-3.2100000000000364,-0.0005448092912896767,Forecast
2026-07-01,CC300,1000,600000,Opex,89082.29,86851.85,-2230.439999999988,-0.025037973316581644,Forecast
2026-07-01,CC300,1000,600100,Opex,18586.2,17417.67,-1168.5300000000025,-0.0628708396552282,Forecast
2026-07-01,CC300,1000,600200,Opex,6796.03,6766.19,-29.840000000000146,-0.004390798745738342,Forecast
2026-07-01,CC300,1000,630000,Opex,4406.8,3551.39,-855.4100000000003,-0.19411137333212314,Forecast
2026-07-01,CC300,1000,640000,Opex,3692.17,3598.18,-93.99000000000024,-0.02545657431808401,Forecast
2026-07-01,CC300,1000,650000,Opex,15763.94,13486.88,-2277.0600000000013,-0.14444739069039855,Forecast
2026-07-01,CC300,1000,660000,Opex,3394.69,3435.45,40.75999999999976,0.01200698738323669,Forecast
2026-07-01,CC300,2000,600000,Opex,46731.37,47257.27,525.8999999999942,0.011253682483522185,Forecast
2026-07-01,CC300,2000,600100,Opex,9941.18,9434.09,-507.09000000000015,-0.051009035144721264,Forecast
2026-07-01,CC300,2000,600200,Opex,3643.06,3587.83,-55.23000000000002,-0.01516033224816501,Forecast
2026-07-01,CC300,2000,630000,Opex,2466.63,2039.03,-427.60000000000014,-0.1733539282340684,Forecast
2026-07-01,CC300,2000,640000,Opex,1850.94,1685.2,-165.74,-0.08954369131360282,Forecast
2026-07-01,CC300,2000,650000,Opex,9779.82,8859.32,-920.5,-0.09412238671059386,Forecast
2026-07-01,CC300,2000,660000,Opex,1856.79,1879.03,22.24000000000001,0.011977660370855084,Forecast
2026-07-01,CC300,3000,600000,Opex,24423.52,24717.28,293.7599999999984,0.012027750299711032,Forecast
2026-07-01,CC300,3000,600100,Opex,4952.04,4888.14,-63.899999999999636,-0.012903772990525043,Forecast
2026-07-01,CC300,3000,600200,Opex,1832.56,1876.53,43.97000000000003,0.023993757366743806,Forecast
2026-07-01,CC300,3000,630000,Opex,1373.83,1313.64,-60.18999999999983,-0.04381182533501221,Forecast
2026-07-01,CC300,3000,640000,Opex,1043.7,849.97,-193.73000000000002,-0.18561847274120916,Forecast
2026-07-01,CC300,3000,650000,Opex,4931.57,3736.84,-1194.7299999999996,-0.24226159215016713,Forecast
2026-07-01,CC300,3000,660000,Opex,911.32,938.48,27.159999999999968,0.029802923232234525,Forecast
2026-07-01,CC400,1000,600000,Opex,155884.48,156923.84,1039.359999999986,0.006667501472885472,Forecast
2026-07-01,CC400,1000,600100,Opex,31611.37,33204.1,1592.7299999999996,0.05038471916908377,Forecast
2026-07-01,CC400,1000,600200,Opex,11950.21,11919.02,-31.18999999999869,-0.002609995974966021,Forecast
2026-07-01,CC400,1000,620000,Opex,3875.27,3930.7,55.429999999999836,0.014303519496705993,Forecast
2026-07-01,CC400,1000,630000,Opex,9831.49,10743.78,912.2900000000009,0.09279264892707015,Forecast
2026-07-01,CC400,1000,640000,Opex,6209.81,5969.57,-240.2400000000007,-0.03868717400371359,Forecast
2026-07-01,CC400,2000,600000,Opex,83067.06,85895.21,2828.1500000000087,0.03404658838292831,Forecast
2026-07-01,CC400,2000,600100,Opex,17113.86,17385.45,271.59000000000015,0.015869593417265314,Forecast
2026-07-01,CC400,2000,600200,Opex,6371.96,6629.84,257.8800000000001,0.0404710638484862,Forecast
2026-07-01,CC400,2000,620000,Opex,2182.3,2263.9,81.59999999999991,0.03739174265682991,Forecast
2026-07-01,CC400,2000,630000,Opex,5847.52,5491.8,-355.72000000000025,-0.06083262648096975,Forecast
2026-07-01,CC400,2000,640000,Opex,2990.44,3343.88,353.44000000000005,0.11818996535626866,Forecast
2026-07-01,CC400,3000,600000,Opex,41745.25,43438.03,1692.7799999999988,0.04055024224312943,Forecast
2026-07-01,CC400,3000,600100,Opex,8514.19,8932.38,418.1899999999987,0.04911682732003851,Forecast
2026-07-01,CC400,3000,600200,Opex,3199.39,3219.79,20.40000000000009,0.006376215466073249,Forecast
2026-07-01,CC400,3000,620000,Opex,984.92,966.24,-18.67999999999995,-0.018966007391463216,Forecast
2026-07-01,CC400,3000,630000,Opex,2353.02,2978.86,625.8400000000001,0.2659730899014884,Forecast
2026-07-01,CC400,3000,640000,Opex,1640.76,1741.12,100.3599999999999,0.06116677637192514,Forecast
2026-07-01,CC500,1000,500000,Opex,484949.34,451562.32,-33387.02000000002,-0.06884640775054982,Forecast
2026-07-01,CC500,1000,500100,Opex,214402.16,187633.11,-26769.050000000017,-0.12485438579536706,Forecast
2026-07-01,CC500,1000,600000,Opex,104367.53,106888.93,2521.399999999994,0.024158854770252723,Forecast
2026-07-01,CC500,1000,600100,Opex,21043.31,20829.61,-213.70000000000073,-0.010155246489264318,Forecast
2026-07-01,CC500,1000,600200,Opex,8157.56,8136.66,-20.900000000000546,-0.0025620406101825232,Forecast
2026-07-01,CC500,2000,500000,Opex,243429.53,260369.34,16939.809999999998,0.06958814733775313,Forecast
2026-07-01,CC500,2000,500100,Opex,107983.04,118341.36,10358.320000000007,0.09592543421633627,Forecast
2026-07-01,CC500,2000,600000,Opex,56076.23,59145.14,3068.909999999996,0.05472746652191127,Forecast
2026-07-01,CC500,2000,600100,Opex,11479.16,11658.74,179.57999999999993,0.015644001825917568,Forecast
2026-07-01,CC500,2000,600200,Opex,4342.68,4358.5,15.819999999999709,0.0036429117503476442,Forecast
2026-07-01,CC500,3000,500000,Opex,132126.88,101062.7,-31064.180000000008,-0.23510870763012043,Forecast
2026-07-01,CC500,3000,500100,Opex,59268.52,52442.39,-6826.129999999997,-0.11517294509800477,Forecast
2026-07-01,CC500,3000,600000,Opex,28156.29,28713.05,556.7599999999984,0.01977391197490857,Forecast
2026-07-01,CC500,3000,600100,Opex,5794.51,6044.37,249.85999999999967,0.043120125774224166,Forecast
2026-07-01,CC500,3000,600200,Opex,2186.98,2238.49,51.50999999999976,0.023553027462528128,Forecast
2026-08-01,PC10,1000,400000,Revenue,1213619.55,1211929.88,-1689.6700000001583,-0.0013922567414146865,Forecast
2026-08-01,PC10,2000,400000,Revenue,670194.28,661052.66,-9141.619999999995,-0.013640253688825866,Forecast
2026-08-01,PC10,3000,400000,Revenue,332308.1,330526.33,-1781.7699999999604,-0.005361801292234407,Forecast
2026-08-01,PC20,1000,400000,Revenue,866369.43,874393.34,8023.909999999916,0.009261534077904752,Forecast
2026-08-01,PC20,2000,400000,Revenue,470002.74,476941.82,6939.080000000016,0.014763913929523084,Forecast
2026-08-01,PC20,3000,400000,Revenue,234927.4,238470.91,3543.5100000000093,0.015083425773238922,Forecast
2026-08-01,PC30,1000,400100,Revenue,245631.31,227757.2,-17874.109999999986,-0.07276804410642922,Forecast
2026-08-01,PC30,2000,400100,Revenue,134399.09,124231.2,-10167.89,-0.07565445569609139,Forecast
2026-08-01,PC30,3000,400100,Revenue,68075.64,62115.6,-5960.040000000001,-0.0875502602693122,Forecast
2026-08-01,PC40,1000,400200,Revenue,436742.39,428894.62,-7847.770000000019,-0.017968876343787053,Forecast
2026-08-01,PC40,2000,400200,Revenue,235530.26,233942.52,-1587.7400000000198,-0.00674112956865933,Forecast
2026-08-01,PC40,3000,400200,Revenue,121487.22,116971.26,-4515.960000000006,-0.03717230503751758,Forecast
2026-08-01,CC100,1000,600000,Opex,276685.6,279304.77,2619.170000000042,0.009466231708480825,Forecast
2026-08-01,CC100,1000,600100,Opex,56375.39,58499.92,2124.529999999999,0.03768541556874372,Forecast
2026-08-01,CC100,1000,600200,Opex,21428.98,20588.45,-840.5299999999988,-0.03922398546267712,Forecast
2026-08-01,CC100,1000,610000,Opex,124760.93,159062.93,34302.0,0.27494184277080974,Forecast
2026-08-01,CC100,1000,620000,Opex,19678.68,19069.19,-609.4900000000016,-0.03097209772200176,Forecast
2026-08-01,CC100,1000,630000,Opex,13947.14,14701.76,754.6200000000008,0.0541057162973915,Forecast
2026-08-01,CC100,1000,640000,Opex,11068.42,12148.3,1079.8799999999992,0.09756406063376699,Forecast
2026-08-01,CC100,2000,600000,Opex,154286.19,161140.62,6854.429999999993,0.04442672412871167,Forecast
2026-08-01,CC100,2000,600100,Opex,31825.32,32124.36,299.0400000000009,0.009396292009004178,Forecast
2026-08-01,CC100,2000,600200,Opex,11737.22,12065.12,327.90000000000146,0.027936768672650037,Forecast
2026-08-01,CC100,2000,610000,Opex,66826.89,69971.87,3144.979999999996,0.04706159451681795,Forecast
2026-08-01,CC100,2000,620000,Opex,10380.08,9727.39,-652.6900000000005,-0.0628790914906244,Forecast
2026-08-01,CC100,2000,630000,Opex,7689.89,7518.05,-171.84000000000015,-0.0223462234180203,Forecast
2026-08-01,CC100,2000,640000,Opex,5946.68,5431.14,-515.54,-0.08669375180773137,Forecast
2026-08-01,CC100,3000,600000,Opex,76528.28,75905.33,-622.9499999999971,-0.00814012806768945,Forecast
2026-08-01,CC100,3000,600100,Opex,15477.95,15360.82,-117.13000000000102,-0.007567539628956096,Forecast
2026-08-01,CC100,3000,600200,Opex,5693.19,5911.23,218.03999999999996,0.03829838807417282,Forecast
2026-08-01,CC100,3000,610000,Opex,35478.12,28716.67,-6761.450000000004,-0.19058084250236496,Forecast
2026-08-01,CC100,3000,620000,Opex,4822.17,5027.7,205.52999999999975,0.04262189014489322,Forecast
2026-08-01,CC100,3000,630000,Opex,3982.93,3932.47,-50.460000000000036,-0.012669065235894188,Forecast
2026-08-01,CC100,3000,640000,Opex,3016.53,3003.6,-12.930000000000291,-0.004286382034987317,Forecast
2026-08-01,CC200,1000,600000,Opex,542741.74,555199.92,12458.180000000051,0.022954158639061098,Forecast
2026-08-01,CC200,1000,600100,Opex,114949.63,122171.25,7221.619999999995,0.06282421265731777,Forecast
2026-08-01,CC200,1000,600200,Opex,42394.52,44332.38,1937.8600000000006,0.045710153104693736,Forecast
2026-08-01,CC200,1000,620000,Opex,11499.71,10133.58,-1366.1299999999992,-0.11879690879161295,Forecast
2026-08-01,CC200,1000,630000,Opex,49608.96,44084.99,-5523.970000000001,-0.11135024801971259,Forecast
2026-08-01,CC200,1000,640000,Opex,21443.08,22081.7,638.619999999999,0.029782102198005086,Forecast
2026-08-01,CC200,1000,660000,Opex,21132.87,20484.6,-648.2700000000004,-0.030675909140594745,Forecast
2026-08-01,CC200,2000,600000,Opex,293680.75,297926.39,4245.640000000014,0.014456650631680877,Forecast
2026-08-01,CC200,2000,600100,Opex,60843.4,63338.96,2495.5599999999977,0.041016116785057996,Forecast
2026-08-01,CC200,2000,600200,Opex,22755.22,23227.64,472.41999999999825,0.020760950674174904,Forecast
2026-08-01,CC200,2000,620000,Opex,5494.37,6695.98,1201.6099999999997,0.21869841310286706,Forecast
2026-08-01,CC200,2000,630000,Opex,28120.54,30132.25,2011.7099999999991,0.07153881113236087,Forecast
2026-08-01,CC200,2000,640000,Opex,10869.53,12944.38,2074.8499999999985,0.1908868184732917,Forecast
2026-08-01,CC200,2000,660000,Opex,11056.21,11272.46,216.25,0.01955914368486127,Forecast
2026-08-01,CC200,3000,600000,Opex,148652.95,155070.71,6417.75999999998,0.04317277255513584,Forecast
2026-08-01,CC200,3000,600100,Opex,29857.12,31908.37,2051.25,0.06870220570503786,Forecast
2026-08-01,CC200,3000,600200,Opex,11613.27,11704.12,90.85000000000036,0.00782294736969005,Forecast
2026-08-01,CC200,3000,620000,Opex,2884.78,3021.25,136.4699999999998,0.047306900352886455,Forecast
2026-08-01,CC200,3000,630000,Opex,12861.74,12721.61,-140.1299999999992,-0.010895104394895185,Forecast
2026-08-01,CC200,3000,640000,Opex,5993.15,6859.01,865.8600000000006,0.14447494222570778,Forecast
2026-08-01,CC200,3000,660000,Opex,5970.89,6095.96,125.06999999999971,0.020946626047373122,Forecast
2026-08-01,CC300,1000,600000,Opex,90514.58,85862.81,-4651.770000000004,-0.05139249389435386,Forecast
2026-08-01,CC300,1000,600100,Opex,18668.15,17470.62,-1197.5300000000025,-0.06414829535867252,Forecast
2026-08-01,CC300,1000,600200,Opex,6787.59,6638.76,-148.82999999999993,-0.021926781081355817,Forecast
2026-08-01,CC300,1000,630000,Opex,4547.01,4000.39,-546.6200000000003,-0.12021526233722828,Forecast
2026-08-01,CC300,1000,640000,Opex,3698.89,3354.31,-344.5799999999999,-0.09315767703283956,Forecast
2026-08-01,CC300,1000,650000,Opex,15975.67,16579.89,604.2199999999993,0.0378212619564625,Forecast
2026-08-01,CC300,1000,660000,Opex,3473.85,3074.15,-399.6999999999998,-0.11505966003137724,Forecast
2026-08-01,CC300,2000,600000,Opex,47982.57,46349.84,-1632.7300000000032,-0.034027564592726135,Forecast
2026-08-01,CC300,2000,600100,Opex,9899.22,9856.02,-43.19999999999891,-0.004363980192378683,Forecast
2026-08-01,CC300,2000,600200,Opex,3736.0,3691.11,-44.88999999999987,-0.012015524625267632,Forecast
2026-08-01,CC300,2000,630000,Opex,2508.72,2183.92,-324.7999999999997,-0.12946841417137017,Forecast
2026-08-01,CC300,2000,640000,Opex,1878.47,1636.18,-242.28999999999996,-0.12898262948037498,Forecast
2026-08-01,CC300,2000,650000,Opex,10045.5,8760.37,-1285.1299999999992,-0.12793091433975404,Forecast
2026-08-01,CC300,2000,660000,Opex,1836.52,1789.5,-47.01999999999998,-0.025602770457168984,Forecast
2026-08-01,CC300,3000,600000,Opex,24514.02,24392.67,-121.35000000000218,-0.004950228481497615,Forecast
2026-08-01,CC300,3000,600100,Opex,5011.92,5031.66,19.73999999999978,0.003938610352918598,Forecast
2026-08-01,CC300,3000,600200,Opex,1868.62,1834.08,-34.539999999999964,-0.018484229003221612,Forecast
2026-08-01,CC300,3000,630000,Opex,1349.57,1268.06,-81.50999999999999,-0.0603970153456286,Forecast
2026-08-01,CC300,3000,640000,Opex,1065.44,849.96,-215.48000000000002,-0.20224508184412074,Forecast
2026-08-01,CC300,3000,650000,Opex,4998.61,4096.99,-901.6199999999999,-0.18037414401203533,Forecast
2026-08-01,CC300,3000,660000,Opex,917.69,902.24,-15.450000000000045,-0.01683575063474599,Forecast
2026-08-01,CC400,1000,600000,Opex,158602.87,165112.69,6509.820000000007,0.04104478058940552,Forecast
2026-08-01,CC400,1000,600100,Opex,32439.1,33540.54,1101.4400000000023,0.033954086272430566,Forecast
2026-08-01,CC400,1000,600200,Opex,12112.16,12412.12,299.96000000000095,0.02476519464736273,Forecast
2026-08-01,CC400,1000,620000,Opex,4026.4,4211.53,185.12999999999965,0.045979038346910306,Forecast
2026-08-01,CC400,1000,630000,Opex,9677.34,8999.4,-677.9400000000005,-0.07005437444587051,Forecast
2026-08-01,CC400,1000,640000,Opex,6322.78,6843.93,521.1500000000005,0.0824241868292113,Forecast
2026-08-01,CC400,2000,600000,Opex,83572.17,87140.22,3568.050000000003,0.04269423661010601,Forecast
2026-08-01,CC400,2000,600100,Opex,17178.09,18496.9,1318.8100000000013,0.07677279604426343,Forecast
2026-08-01,CC400,2000,600200,Opex,6378.63,6928.45,549.8199999999997,0.0861971928141309,Forecast
2026-08-01,CC400,2000,620000,Opex,2206.71,2320.0,113.28999999999996,0.051338870988938266,Forecast
2026-08-01,CC400,2000,630000,Opex,5821.73,6564.58,742.8500000000004,0.12759952797536134,Forecast
2026-08-01,CC400,2000,640000,Opex,3067.87,3575.27,507.4000000000001,0.16539162350425543,Forecast
2026-08-01,CC400,3000,600000,Opex,41676.44,44780.44,3104.0,0.07447853031592909,Forecast
2026-08-01,CC400,3000,600100,Opex,8566.9,9013.0,446.10000000000036,0.05207251164365177,Forecast
2026-08-01,CC400,3000,600200,Opex,3279.61,3316.32,36.710000000000036,0.011193404093779454,Forecast
2026-08-01,CC400,3000,620000,Opex,1012.67,1143.27,130.60000000000002,0.12896600077024106,Forecast
2026-08-01,CC400,3000,630000,Opex,2407.6,2666.37,258.77,0.10748047848479814,Forecast
2026-08-01,CC400,3000,640000,Opex,1655.27,1458.79,-196.48000000000002,-0.1186996683320546,Forecast
2026-08-01,CC500,1000,500000,Opex,495644.64,552139.48,56494.83999999997,0.11398255007862078,Forecast
2026-08-01,CC500,1000,500100,Opex,217546.84,228176.77,10629.929999999993,0.04886271848398255,Forecast
2026-08-01,CC500,1000,600000,Opex,104820.55,106372.94,1552.3899999999994,0.01480997762366253,Forecast
2026-08-01,CC500,1000,600100,Opex,21593.0,22362.7,769.7000000000007,0.03564581114249992,Forecast
2026-08-01,CC500,1000,600200,Opex,8210.8,7846.41,-364.3899999999994,-0.04437935402153255,Forecast
2026-08-01,CC500,2000,500000,Opex,243366.63,295219.51,51852.880000000005,0.21306487253408574,Forecast
2026-08-01,CC500,2000,500100,Opex,111923.6,123736.36,11812.759999999995,0.10554306687776299,Forecast
2026-08-01,CC500,2000,600000,Opex,56530.56,58047.07,1516.510000000002,0.026826374973111924,Forecast
2026-08-01,CC500,2000,600100,Opex,11773.24,12148.2,374.96000000000095,0.03184849710020359,Forecast
2026-08-01,CC500,2000,600200,Opex,4366.3,4506.88,140.57999999999993,0.03219659666078829,Forecast
2026-08-01,CC500,3000,500000,Opex,135690.08,130553.15,-5136.929999999993,-0.03785781539814844,Forecast
2026-08-01,CC500,3000,500100,Opex,60867.48,51450.95,-9416.530000000006,-0.15470543548048984,Forecast
2026-08-01,CC500,3000,600000,Opex,29041.6,28047.68,-993.9199999999983,-0.0342240096964354,Forecast
2026-08-01,CC500,3000,600100,Opex,5889.44,5988.64,99.20000000000073,0.016843706702165357,Forecast
2026-08-01,CC500,3000,600200,Opex,2220.27,2210.54,-9.730000000000018,-0.004382349894382223,Forecast
2026-09-01,PC10,1000,400000,Revenue,1226815.32,1214176.95,-12638.370000000112,-0.010301770603908102,Forecast
2026-09-01,PC10,2000,400000,Revenue,660401.05,662278.34,1877.2899999999208,0.0028426514464202027,Forecast
2026-09-01,PC10,3000,400000,Revenue,342649.24,331139.17,-11510.070000000007,-0.03359140676920809,Forecast
2026-09-01,PC20,1000,400000,Revenue,883148.79,891151.36,8002.569999999949,0.00906140628919386,Forecast
2026-09-01,PC20,2000,400000,Revenue,477110.14,486082.56,8972.419999999984,0.01880576254363402,Forecast
2026-09-01,PC20,3000,400000,Revenue,242918.27,243041.28,123.01000000000931,0.0005063843077756536,Forecast
2026-09-01,PC30,1000,400100,Revenue,248763.29,198136.23,-50627.06,-0.2035149961234232,Forecast
2026-09-01,PC30,2000,400100,Revenue,137579.13,108074.31,-29504.820000000007,-0.21445709098465737,Forecast
2026-09-01,PC30,3000,400100,Revenue,68392.71,54037.15,-14355.560000000005,-0.20989897899937002,Forecast
2026-09-01,PC40,1000,400200,Revenue,446676.33,431432.15,-15244.179999999993,-0.03412802285717712,Forecast
2026-09-01,PC40,2000,400200,Revenue,241941.52,235326.63,-6614.889999999985,-0.027340863197023748,Forecast
2026-09-01,PC40,3000,400200,Revenue,119291.4,117663.31,-1628.0899999999965,-0.013648008154820855,Forecast
2026-09-01,CC100,1000,600000,Opex,279047.7,294728.16,15680.459999999963,0.056192758442373696,Forecast
2026-09-01,CC100,1000,600100,Opex,58415.19,59629.82,1214.6299999999974,0.020793050574687805,Forecast
2026-09-01,CC100,1000,600200,Opex,21754.49,21581.42,-173.07000000000335,-0.007955599051046628,Forecast
2026-09-01,CC100,1000,610000,Opex,126970.19,110728.25,-16241.940000000002,-0.1279193171247519,Forecast
2026-09-01,CC100,1000,620000,Opex,19357.17,17550.57,-1806.5999999999985,-0.09332975843059697,Forecast
2026-09-01,CC100,1000,630000,Opex,14254.82,15238.21,983.3899999999994,0.06898649018367117,Forecast
2026-09-01,CC100,1000,640000,Opex,11012.8,11215.85,203.0500000000011,0.018437636205143205,Forecast
2026-09-01,CC100,2000,600000,Opex,154979.58,158986.1,4006.5200000000186,0.02585192191126095,Forecast
2026-09-01,CC100,2000,600100,Opex,32389.15,32317.79,-71.36000000000058,-0.0022032069381259026,Forecast
2026-09-01,CC100,2000,600200,Opex,11981.46,12162.04,180.58000000000175,0.015071618984664787,Forecast
2026-09-01,CC100,2000,610000,Opex,69012.04,71870.43,2858.3899999999994,0.041418714763394905,Forecast
2026-09-01,CC100,2000,620000,Opex,10588.38,8560.96,-2027.42,-0.19147593871772645,Forecast
2026-09-01,CC100,2000,630000,Opex,7798.56,7798.14,-0.42000000000007276,-5.3856096510134276e-05,Forecast
2026-09-01,CC100,2000,640000,Opex,5913.08,6597.72,684.6400000000003,0.11578399074593956,Forecast
2026-09-01,CC100,3000,600000,Opex,76533.58,77892.87,1359.2899999999936,0.01776070059704503,Forecast
2026-09-01,CC100,3000,600100,Opex,15682.1,16155.44,473.34000000000015,0.030183457572646528,Forecast
2026-09-01,CC100,3000,600200,Opex,5851.12,5959.7,108.57999999999993,0.01855713094245203,Forecast
2026-09-01,CC100,3000,610000,Opex,35741.64,31384.88,-4356.759999999998,-0.12189591747888454,Forecast
2026-09-01,CC100,3000,620000,Opex,4813.31,4936.63,123.31999999999971,0.025620622814653472,Forecast
2026-09-01,CC100,3000,630000,Opex,3938.1,4122.2,184.0999999999999,0.04674843198496735,Forecast
2026-09-01,CC100,3000,640000,Opex,3039.26,2802.33,-236.9300000000003,-0.0779564762475077,Forecast
2026-09-01,CC200,1000,600000,Opex,549087.99,570461.48,21373.48999999999,0.03892543706883844,Forecast
2026-09-01,CC200,1000,600100,Opex,112935.83,115362.91,2427.0800000000017,0.021490788175904864,Forecast
2026-09-01,CC200,1000,600200,Opex,42704.56,45076.44,2371.8800000000047,0.05554160960796704,Forecast
2026-09-01,CC200,1000,620000,Opex,11891.53,12707.42,815.8899999999994,0.06861101977626087,Forecast
2026-09-01,CC200,1000,630000,Opex,50922.48,49923.14,-999.3400000000038,-0.019624731552744558,Forecast
2026-09-01,CC200,1000,640000,Opex,22072.75,25247.31,3174.5600000000013,0.14382258667361345,Forecast
2026-09-01,CC200,1000,660000,Opex,21103.49,21955.42,851.9299999999967,0.040369152211316546,Forecast
2026-09-01,CC200,2000,600000,Opex,300929.31,305940.13,5010.820000000007,0.016651153056510205,Forecast
