document_number,posting_date,period,company_code,profit_center,cost_center,gl_account,amount,debit_credit,document_type,source
4900000102,2023-09-21,2023-09-01,3000,PC20,,400000,136520.42,C,RV,Billing
4900000103,2023-09-03,2023-09-01,1000,PC40,,400200,364078.05,C,RV,Billing
4900000104,2023-09-20,2023-09-01,2000,PC40,,400200,198588.03,C,RV,Billing
4900000105,2023-09-21,2023-09-01,3000,PC40,,400200,99294.01,C,RV,Billing
4900000106,2023-09-06,2023-09-01,1000,PC30,,400100,143113.35,C,RV,Billing
4900000107,2023-09-18,2023-09-01,2000,PC30,,400100,78061.83,C,RV,Billing
4900000108,2023-09-24,2023-09-01,3000,PC30,,400100,39030.91,C,RV,Billing
4900000109,2023-10-08,2023-10-01,1000,PC10,,400000,730317.95,C,RV,Billing
4900000110,2023-10-06,2023-10-01,2000,PC10,,400000,398355.24,C,RV,Billing
4900000111,2023-10-15,2023-10-01,3000,PC10,,400000,199177.62,C,RV,Billing
4900000112,2023-10-13,2023-10-01,1000,PC20,,400000,508500.93,C,RV,Billing
4900000113,2023-10-09,2023-10-01,2000,PC20,,400000,277364.15,C,RV,Billing
4900000114,2023-10-21,2023-10-01,3000,PC20,,400000,138682.07,C,RV,Billing
4900000115,2023-10-23,2023-10-01,1000,PC40,,400200,366959.24,C,RV,Billing
4900000116,2023-10-18,2023-10-01,2000,PC40,,400200,200159.58,C,RV,Billing
4900000117,2023-10-08,2023-10-01,3000,PC40,,400200,100079.79,C,RV,Billing
4900000118,2023-10-22,2023-10-01,1000,PC30,,400100,131910.91,C,RV,Billing
4900000119,2023-10-11,2023-10-01,2000,PC30,,400100,71951.41,C,RV,Billing
4900000120,2023-10-27,2023-10-01,3000,PC30,,400100,35975.7,C,RV,Billing
4900000121,2023-11-25,2023-11-01,1000,PC10,,400000,742028.34,C,RV,Billing
4900000122,2023-11-25,2023-11-01,2000,PC10,,400000,404742.73,C,RV,Billing
4900000123,2023-11-02,2023-11-01,3000,PC10,,400000,202371.37,C,RV,Billing
4900000124,2023-11-08,2023-11-01,1000,PC20,,400000,520039.13,C,RV,Billing
4900000125,2023-11-27,2023-11-01,2000,PC20,,400000,283657.71,C,RV,Billing
4900000126,2023-11-02,2023-11-01,3000,PC20,,400000,141828.85,C,RV,Billing
4900000127,2023-11-26,2023-11-01,1000,PC40,,400200,373920.68,C,RV,Billing
4900000128,2023-11-11,2023-11-01,2000,PC40,,400200,203956.73,C,RV,Billing
4900000129,2023-11-13,2023-11-01,3000,PC40,,400200,101978.37,C,RV,Billing
4900000130,2023-11-09,2023-11-01,1000,PC30,,400100,137418.09,C,RV,Billing
4900000131,2023-11-03,2023-11-01,2000,PC30,,400100,74955.32,C,RV,Billing
4900000132,2023-11-07,2023-11-01,3000,PC30,,400100,37477.66,C,RV,Billing
4900000133,2023-12-19,2023-12-01,1000,PC10,,400000,756230.02,C,RV,Billing
4900000134,2023-12-23,2023-12-01,2000,PC10,,400000,412489.1,C,RV,Billing
4900000135,2023-12-11,2023-12-01,3000,PC10,,400000,206244.55,C,RV,Billing
4900000136,2023-12-07,2023-12-01,1000,PC20,,400000,545098.29,C,RV,Billing
4900000137,2023-12-21,2023-12-01,2000,PC20,,400000,297326.34,C,RV,Billing
4900000138,2023-12-16,2023-12-01,3000,PC20,,400000,148663.17,C,RV,Billing
4900000139,2023-12-13,2023-12-01,1000,PC40,,400200,382645.86,C,RV,Billing
4900000140,2023-12-21,2023-12-01,2000,PC40,,400200,208715.92,C,RV,Billing
4900000141,2023-12-15,2023-12-01,3000,PC40,,400200,104357.96,C,RV,Billing
4900000142,2023-12-05,2023-12-01,1000,PC30,,400100,157823.79,C,RV,Billing
4900000143,2023-12-09,2023-12-01,2000,PC30,,400100,86085.7,C,RV,Billing
4900000144,2023-12-05,2023-12-01,3000,PC30,,400100,43042.85,C,RV,Billing
4900000145,2024-01-08,2024-01-01,1000,PC10,,400000,782098.26,C,RV,Billing
4900000146,2024-01-24,2024-01-01,2000,PC10,,400000,426599.05,C,RV,Billing
4900000147,2024-01-18,2024-01-01,3000,PC10,,400000,213299.53,C,RV,Billing
4900000148,2024-01-18,2024-01-01,1000,PC20,,400000,555250.39,C,RV,Billing
4900000149,2024-01-09,2024-01-01,2000,PC20,,400000,302863.85,C,RV,Billing
4900000150,2024-01-24,2024-01-01,3000,PC20,,400000,151431.92,C,RV,Billing
4900000151,2024-01-19,2024-01-01,1000,PC40,,400200,381518.69,C,RV,Billing
4900000152,2024-01-14,2024-01-01,2000,PC40,,400200,208101.1,C,RV,Billing
4900000153,2024-01-19,2024-01-01,3000,PC40,,400200,104050.55,C,RV,Billing
4900000154,2024-01-13,2024-01-01,1000,PC30,,400100,137008.51,C,RV,Billing
4900000155,2024-01-12,2024-01-01,2000,PC30,,400100,74731.92,C,RV,Billing
4900000156,2024-01-08,2024-01-01,3000,PC30,,400100,37365.96,C,RV,Billing
4900000157,2024-02-05,2024-02-01,1000,PC10,,400000,785632.75,C,RV,Billing
4900000158,2024-02-17,2024-02-01,2000,PC10,,400000,428526.95,C,RV,Billing
4900000159,2024-02-16,2024-02-01,3000,PC10,,400000,214263.48,C,RV,Billing
4900000160,2024-02-03,2024-02-01,1000,PC20,,400000,574451.7,C,RV,Billing
4900000161,2024-02-25,2024-02-01,2000,PC20,,400000,313337.29,C,RV,Billing
4900000162,2024-02-02,2024-02-01,3000,PC20,,400000,156668.65,C,RV,Billing
4900000163,2024-02-28,2024-02-01,1000,PC40,,400200,383320.62,C,RV,Billing
4900000164,2024-02-04,2024-02-01,2000,PC40,,400200,209083.98,C,RV,Billing
4900000165,2024-02-05,2024-02-01,3000,PC40,,400200,104541.99,C,RV,Billing
4900000166,2024-02-21,2024-02-01,1000,PC30,,400100,124498.1,C,RV,Billing
4900000167,2024-02-06,2024-02-01,2000,PC30,,400100,67908.05,C,RV,Billing
4900000168,2024-02-26,2024-02-01,3000,PC30,,400100,33954.03,C,RV,Billing
4900000169,2024-03-22,2024-03-01,1000,PC10,,400000,792492.75,C,RV,Billing
4900000170,2024-03-14,2024-03-01,2000,PC10,,400000,432268.77,C,RV,Billing
4900000171,2024-03-20,2024-03-01,3000,PC10,,400000,216134.39,C,RV,Billing
4900000172,2024-03-03,2024-03-01,1000,PC20,,400000,588126.3,C,RV,Billing
4900000173,2024-03-13,2024-03-01,2000,PC20,,400000,320796.17,C,RV,Billing
4900000174,2024-03-13,2024-03-01,3000,PC20,,400000,160398.08,C,RV,Billing
4900000175,2024-03-20,2024-03-01,1000,PC40,,400200,385198.91,C,RV,Billing
4900000176,2024-03-15,2024-03-01,2000,PC40,,400200,210108.5,C,RV,Billing
4900000177,2024-03-17,2024-03-01,3000,PC40,,400200,105054.25,C,RV,Billing
4900000178,2024-03-09,2024-03-01,1000,PC30,,400100,158018.44,C,RV,Billing
4900000179,2024-03-18,2024-03-01,2000,PC30,,400100,86191.87,C,RV,Billing
4900000180,2024-03-28,2024-03-01,3000,PC30,,400100,43095.94,C,RV,Billing
4900000181,2024-04-01,2024-04-01,1000,PC10,,400000,806997.69,C,RV,Billing
4900000182,2024-04-22,2024-04-01,2000,PC10,,400000,440180.56,C,RV,Billing
4900000183,2024-04-24,2024-04-01,3000,PC10,,400000,220090.28,C,RV,Billing
4900000184,2024-04-04,2024-04-01,1000,PC20,,400000,597576.03,C,RV,Billing
4900000185,2024-04-22,2024-04-01,2000,PC20,,400000,325950.56,C,RV,Billing
4900000186,2024-04-18,2024-04-01,3000,PC20,,400000,162975.28,C,RV,Billing
4900000187,2024-04-25,2024-04-01,1000,PC40,,400200,387458.48,C,RV,Billing
4900000188,2024-04-09,2024-04-01,2000,PC40,,400200,211340.99,C,RV,Billing
4900000189,2024-04-25,2024-04-01,3000,PC40,,400200,105670.49,C,RV,Billing
4900000190,2024-04-21,2024-04-01,1000,PC30,,400100,168335.78,C,RV,Billing
4900000191,2024-04-11,2024-04-01,2000,PC30,,400100,91819.52,C,RV,Billing
4900000192,2024-04-04,2024-04-01,3000,PC30,,400100,45909.76,C,RV,Billing
4900000193,2024-05-10,2024-05-01,1000,PC10,,400000,821928.25,C,RV,Billing
4900000194,2024-05-14,2024-05-01,2000,PC10,,400000,448324.5,C,RV,Billing
4900000195,2024-05-06,2024-05-01,3000,PC10,,400000,224162.25,C,RV,Billing
4900000196,2024-05-15,2024-05-01,1000,PC20,,400000,605028.77,C,RV,Billing
4900000197,2024-05-01,2024-05-01,2000,PC20,,400000,330015.69,C,RV,Billing
4900000198,2024-05-24,2024-05-01,3000,PC20,,400000,165007.85,C,RV,Billing
4900000199,2024-05-24,2024-05-01,1000,PC40,,400200,386368.16,C,RV,Billing
4900000200,2024-05-09,2024-05-01,2000,PC40,,400200,210746.27,C,RV,Billing
4900000201,2024-05-17,2024-05-01,3000,PC40,,400200,105373.13,C,RV,Billing
4900000202,2024-05-25,2024-05-01,1000,PC30,,400100,140832.04,C,RV,Billing
4900000203,2024-05-06,2024-05-01,2000,PC30,,400100,76817.47,C,RV,Billing
4900000204,2024-05-17,2024-05-01,3000,PC30,,400100,38408.74,C,RV,Billing
4900000205,2024-06-04,2024-06-01,1000,PC10,,400000,836186.54,C,RV,Billing
4900000206,2024-06-28,2024-06-01,2000,PC10,,400000,456101.75,C,RV,Billing
4900000207,2024-06-21,2024-06-01,3000,PC10,,400000,228050.87,C,RV,Billing
4900000208,2024-06-10,2024-06-01,1000,PC20,,400000,620409.44,C,RV,Billing
4900000209,2024-06-27,2024-06-01,2000,PC20,,400000,338405.15,C,RV,Billing
4900000210,2024-06-21,2024-06-01,3000,PC20,,400000,169202.57,C,RV,Billing
4900000211,2024-06-17,2024-06-01,1000,PC40,,400200,384872.44,C,RV,Billing
4900000212,2024-06-20,2024-06-01,2000,PC40,,400200,209930.42,C,RV,Billing
4900000213,2024-06-07,2024-06-01,3000,PC40,,400200,104965.21,C,RV,Billing
4900000214,2024-06-05,2024-06-01,1000,PC30,,400100,219658.37,C,RV,Billing
4900000215,2024-06-12,2024-06-01,2000,PC30,,400100,119813.66,C,RV,Billing
4900000216,2024-06-25,2024-06-01,3000,PC30,,400100,59906.83,C,RV,Billing
4900000217,2024-07-06,2024-07-01,1000,PC10,,400000,847383.9,C,RV,Billing
4900000218,2024-07-18,2024-07-01,2000,PC10,,400000,462209.4,C,RV,Billing
4900000219,2024-07-25,2024-07-01,3000,PC10,,400000,231104.7,C,RV,Billing
4900000220,2024-07-17,2024-07-01,1000,PC20,,400000,632851.43,C,RV,Billing
4900000221,2024-07-01,2024-07-01,2000,PC20,,400000,345191.69,C,RV,Billing
4900000222,2024-07-20,2024-07-01,3000,PC20,,400000,172595.85,C,RV,Billing
4900000223,2024-07-11,2024-07-01,1000,PC40,,400200,383293.6,C,RV,Billing
4900000224,2024-07-16,2024-07-01,2000,PC40,,400200,209069.24,C,RV,Billing
4900000225,2024-07-01,2024-07-01,3000,PC40,,400200,104534.62,C,RV,Billing
4900000226,2024-07-04,2024-07-01,1000,PC30,,400100,129190.93,C,RV,Billing
4900000227,2024-07-12,2024-07-01,2000,PC30,,400100,70467.78,C,RV,Billing
4900000228,2024-07-27,2024-07-01,3000,PC30,,400100,35233.89,C,RV,Billing
4900000229,2024-08-26,2024-08-01,1000,PC10,,400000,855704.84,C,RV,Billing
4900000230,2024-08-10,2024-08-01,2000,PC10,,400000,466748.1,C,RV,Billing
4900000231,2024-08-08,2024-08-01,3000,PC10,,400000,233374.05,C,RV,Billing
4900000232,2024-08-02,2024-08-01,1000,PC20,,400000,637037.71,C,RV,Billing
4900000233,2024-08-08,2024-08-01,2000,PC20,,400000,347475.11,C,RV,Billing
4900000234,2024-08-19,2024-08-01,3000,PC20,,400000,173737.56,C,RV,Billing
4900000235,2024-08-03,2024-08-01,1000,PC40,,400200,380438.76,C,RV,Billing
4900000236,2024-08-03,2024-08-01,2000,PC40,,400200,207512.05,C,RV,Billing
4900000237,2024-08-24,2024-08-01,3000,PC40,,400200,103756.03,C,RV,Billing
4900000238,2024-08-16,2024-08-01,1000,PC30,,400100,138609.27,C,RV,Billing
4900000239,2024-08-27,2024-08-01,2000,PC30,,400100,75605.06,C,RV,Billing
4900000240,2024-08-03,2024-08-01,3000,PC30,,400100,37802.53,C,RV,Billing
4900000241,2024-09-25,2024-09-01,1000,PC10,,400000,878755.22,C,RV,Billing
4900000242,2024-09-18,2024-09-01,2000,PC10,,400000,479321.03,C,RV,Billing
4900000243,2024-09-25,2024-09-01,3000,PC10,,400000,239660.52,C,RV,Billing
4900000244,2024-09-05,2024-09-01,1000,PC20,,400000,651561.14,C,RV,Billing
4900000245,2024-09-05,2024-09-01,2000,PC20,,400000,355396.98,C,RV,Billing
4900000246,2024-09-22,2024-09-01,3000,PC20,,400000,177698.49,C,RV,Billing
4900000247,2024-09-16,2024-09-01,1000,PC40,,400200,383614.64,C,RV,Billing
4900000248,2024-09-18,2024-09-01,2000,PC40,,400200,209244.35,C,RV,Billing
4900000249,2024-09-06,2024-09-01,3000,PC40,,400200,104622.17,C,RV,Billing
4900000250,2024-09-09,2024-09-01,1000,PC30,,400100,256773.27,C,RV,Billing
4900000251,2024-09-17,2024-09-01,2000,PC30,,400100,140058.15,C,RV,Billing
4900000252,2024-09-28,2024-09-01,3000,PC30,,400100,70029.07,C,RV,Billing
4900000253,2024-10-20,2024-10-01,1000,PC10,,400000,902326.85,C,RV,Billing
4900000254,2024-10-14,2024-10-01,2000,PC10,,400000,492178.28,C,RV,Billing
4900000255,2024-10-07,2024-10-01,3000,PC10,,400000,246089.14,C,RV,Billing
4900000256,2024-10-18,2024-10-01,1000,PC20,,400000,670058.7,C,RV,Billing
4900000257,2024-10-25,2024-10-01,2000,PC20,,400000,365486.56,C,RV,Billing
4900000258,2024-10-24,2024-10-01,3000,PC20,,400000,182743.28,C,RV,Billing
4900000259,2024-10-23,2024-10-01,1000,PC40,,400200,383521.44,C,RV,Billing
4900000260,2024-10-07,2024-10-01,2000,PC40,,400200,209193.51,C,RV,Billing
4900000261,2024-10-23,2024-10-01,3000,PC40,,400200,104596.76,C,RV,Billing
4900000262,2024-10-10,2024-10-01,1000,PC30,,400100,174893.48,C,RV,Billing
4900000263,2024-10-13,2024-10-01,2000,PC30,,400100,95396.44,C,RV,Billing
4900000264,2024-10-22,2024-10-01,3000,PC30,,400100,47698.22,C,RV,Billing
4900000265,2024-11-21,2024-11-01,1000,PC10,,400000,940726.9,C,RV,Billing
4900000266,2024-11-12,2024-11-01,2000,PC10,,400000,513123.77,C,RV,Billing
4900000267,2024-11-15,2024-11-01,3000,PC10,,400000,256561.88,C,RV,Billing
4900000268,2024-11-17,2024-11-01,1000,PC20,,400000,681882.19,C,RV,Billing
4900000269,2024-11-15,2024-11-01,2000,PC20,,400000,371935.74,C,RV,Billing
4900000270,2024-11-04,2024-11-01,3000,PC20,,400000,185967.87,C,RV,Billing
4900000271,2024-11-08,2024-11-01,1000,PC40,,400200,386156.84,C,RV,Billing
4900000272,2024-11-08,2024-11-01,2000,PC40,,400200,210631.0,C,RV,Billing
4900000273,2024-11-03,2024-11-01,3000,PC40,,400200,105315.5,C,RV,Billing
4900000274,2024-11-11,2024-11-01,1000,PC30,,400100,195027.82,C,RV,Billing
4900000275,2024-11-01,2024-11-01,2000,PC30,,400100,106378.81,C,RV,Billing
4900000276,2024-11-19,2024-11-01,3000,PC30,,400100,53189.41,C,RV,Billing
4900000277,2024-12-18,2024-12-01,1000,PC10,,400000,958936.35,C,RV,Billing
4900000278,2024-12-08,2024-12-01,2000,PC10,,400000,523056.19,C,RV,Billing
4900000279,2024-12-19,2024-12-01,3000,PC10,,400000,261528.1,C,RV,Billing
4900000280,2024-12-08,2024-12-01,1000,PC20,,400000,693258.32,C,RV,Billing
4900000281,2024-12-01,2024-12-01,2000,PC20,,400000,378140.9,C,RV,Billing
4900000282,2024-12-03,2024-12-01,3000,PC20,,400000,189070.45,C,RV,Billing
4900000283,2024-12-23,2024-12-01,1000,PC40,,400200,383867.8,C,RV,Billing
4900000284,2024-12-21,2024-12-01,2000,PC40,,400200,209382.44,C,RV,Billing
4900000285,2024-12-02,2024-12-01,3000,PC40,,400200,104691.22,C,RV,Billing
4900000286,2024-12-08,2024-12-01,1000,PC30,,400100,202867.2,C,RV,Billing
4900000287,2024-12-03,2024-12-01,2000,PC30,,400100,110654.84,C,RV,Billing
4900000288,2024-12-02,2024-12-01,3000,PC30,,400100,55327.42,C,RV,Billing
4900000289,2025-01-28,2025-01-01,1000,PC10,,400000,970241.13,C,RV,Billing
4900000290,2025-01-11,2025-01-01,2000,PC10,,400000,529222.43,C,RV,Billing
4900000291,2025-01-03,2025-01-01,3000,PC10,,400000,264611.22,C,RV,Billing
4900000292,2025-01-17,2025-01-01,1000,PC20,,400000,705952.68,C,RV,Billing
4900000293,2025-01-08,2025-01-01,2000,PC20,,400000,385065.1,C,RV,Billing
4900000294,2025-01-09,2025-01-01,3000,PC20,,400000,192532.55,C,RV,Billing
4900000295,2025-01-22,2025-01-01,1000,PC40,,400200,387795.83,C,RV,Billing
4900000296,2025-01-16,2025-01-01,2000,PC40,,400200,211525.0,C,RV,Billing
4900000297,2025-01-07,2025-01-01,3000,PC40,,400200,105762.5,C,RV,Billing
4900000298,2025-01-18,2025-01-01,1000,PC30,,400100,194563.74,C,RV,Billing
4900000299,2025-01-05,2025-01-01,2000,PC30,,400100,106125.67,C,RV,Billing
4900000300,2025-01-24,2025-01-01,3000,PC30,,400100,53062.84,C,RV,Billing
4900000301,2025-02-19,2025-02-01,1000,PC10,,400000,988739.7,C,RV,Billing
4900000302,2025-02-19,2025-02-01,2000,PC10,,400000,539312.56,C,RV,Billing
4900000303,2025-02-16,2025-02-01,3000,PC10,,400000,269656.28,C,RV,Billing
4900000304,2025-02-08,2025-02-01,1000,PC20,,400000,721293.05,C,RV,Billing
4900000305,2025-02-26,2025-02-01,2000,PC20,,400000,393432.57,C,RV,Billing
4900000306,2025-02-16,2025-02-01,3000,PC20,,400000,196716.29,C,RV,Billing
4900000307,2025-02-26,2025-02-01,1000,PC40,,400200,393890.16,C,RV,Billing
4900000308,2025-02-14,2025-02-01,2000,PC40,,400200,214849.18,C,RV,Billing
4900000309,2025-02-07,2025-02-01,3000,PC40,,400200,107424.59,C,RV,Billing
4900000310,2025-02-04,2025-02-01,1000,PC30,,400100,207973.35,C,RV,Billing
4900000311,2025-02-04,2025-02-01,2000,PC30,,400100,113440.01,C,RV,Billing
4900000312,2025-02-22,2025-02-01,3000,PC30,,400100,56720.0,C,RV,Billing
4900000313,2025-03-14,2025-03-01,1000,PC10,,400000,979937.83,C,RV,Billing
4900000314,2025-03-12,2025-03-01,2000,PC10,,400000,534511.54,C,RV,Billing
4900000315,2025-03-14,2025-03-01,3000,PC10,,400000,267255.77,C,RV,Billing
4900000316,2025-03-14,2025-03-01,1000,PC20,,400000,722659.57,C,RV,Billing
