period,dim1,dim2,gl_account,line_type,budget_amount
2024-08-01,PC30,3000,400100,Revenue,33122.11
2024-09-01,PC30,3000,400100,Revenue,49959.56
2024-10-01,PC30,3000,400100,Revenue,46048.9
2024-11-01,PC30,3000,400100,Revenue,47971.4
2024-12-01,PC30,3000,400100,Revenue,55094.85
2024-01-01,PC40,1000,400200,Revenue,466588.71
2024-02-01,PC40,1000,400200,Revenue,462506.14
2024-03-01,PC40,1000,400200,Revenue,458853.5
2024-04-01,PC40,1000,400200,Revenue,462583.59
2024-05-01,PC40,1000,400200,Revenue,461895.49
2024-06-01,PC40,1000,400200,Revenue,463808.31
2024-07-01,PC40,1000,400200,Revenue,462096.83
2024-08-01,PC40,1000,400200,Revenue,462890.64
2024-09-01,PC40,1000,400200,Revenue,466019.9
2024-10-01,PC40,1000,400200,Revenue,469707.83
2024-11-01,PC40,1000,400200,Revenue,478618.47
2024-12-01,PC40,1000,400200,Revenue,489786.7
2024-01-01,PC40,2000,400200,Revenue,254502.94
2024-02-01,PC40,2000,400200,Revenue,252276.07
2024-03-01,PC40,2000,400200,Revenue,250283.74
2024-04-01,PC40,2000,400200,Revenue,252318.32
2024-05-01,PC40,2000,400200,Revenue,251943.0
2024-06-01,PC40,2000,400200,Revenue,252986.36
2024-07-01,PC40,2000,400200,Revenue,252052.81
2024-08-01,PC40,2000,400200,Revenue,252485.8
2024-09-01,PC40,2000,400200,Revenue,254192.68
2024-10-01,PC40,2000,400200,Revenue,256204.26
2024-11-01,PC40,2000,400200,Revenue,261064.61
2024-12-01,PC40,2000,400200,Revenue,267156.38
2024-01-01,PC40,3000,400200,Revenue,127251.47
2024-02-01,PC40,3000,400200,Revenue,126138.04
2024-03-01,PC40,3000,400200,Revenue,125141.86
2024-04-01,PC40,3000,400200,Revenue,126159.16
2024-05-01,PC40,3000,400200,Revenue,125971.49
2024-06-01,PC40,3000,400200,Revenue,126493.17
2024-07-01,PC40,3000,400200,Revenue,126026.41
2024-08-01,PC40,3000,400200,Revenue,126242.91
2024-09-01,PC40,3000,400200,Revenue,127096.33
2024-10-01,PC40,3000,400200,Revenue,128102.13
2024-11-01,PC40,3000,400200,Revenue,130532.31
2024-12-01,PC40,3000,400200,Revenue,133578.19
2024-01-01,CC100,1000,600000,Opex,219881.47
2024-02-01,CC100,1000,600000,Opex,220214.81
2024-03-01,CC100,1000,600000,Opex,222542.65
2024-04-01,CC100,1000,600000,Opex,229503.18
2024-05-01,CC100,1000,600000,Opex,233200.84
2024-06-01,CC100,1000,600000,Opex,231145.67
2024-07-01,CC100,1000,600000,Opex,237283.73
2024-08-01,CC100,1000,600000,Opex,246906.08
2024-09-01,CC100,1000,600000,Opex,230633.41
2024-10-01,CC100,1000,600000,Opex,239515.02
2024-11-01,CC100,1000,600000,Opex,242844.26
2024-12-01,CC100,1000,600000,Opex,241343.44
2024-01-01,CC100,1000,600100,Opex,43294.66
2024-02-01,CC100,1000,600100,Opex,45731.75
2024-03-01,CC100,1000,600100,Opex,46856.28
2024-04-01,CC100,1000,600100,Opex,45616.09
2024-05-01,CC100,1000,600100,Opex,45825.51
2024-06-01,CC100,1000,600100,Opex,46889.86
2024-07-01,CC100,1000,600100,Opex,47517.56
2024-08-01,CC100,1000,600100,Opex,48819.84
2024-09-01,CC100,1000,600100,Opex,50030.65
2024-10-01,CC100,1000,600100,Opex,49388.77
2024-11-01,CC100,1000,600100,Opex,49391.29
2024-12-01,CC100,1000,600100,Opex,50082.45
2024-01-01,CC100,1000,600200,Opex,16357.2
2024-02-01,CC100,1000,600200,Opex,16877.33
2024-03-01,CC100,1000,600200,Opex,17001.24
2024-04-01,CC100,1000,600200,Opex,17746.72
2024-05-01,CC100,1000,600200,Opex,17764.64
2024-06-01,CC100,1000,600200,Opex,17779.4
2024-07-01,CC100,1000,600200,Opex,18018.99
2024-08-01,CC100,1000,600200,Opex,18124.19
2024-09-01,CC100,1000,600200,Opex,18097.43
2024-10-01,CC100,1000,600200,Opex,18332.02
2024-11-01,CC100,1000,600200,Opex,18195.78
2024-12-01,CC100,1000,600200,Opex,18633.46
2024-01-01,CC100,1000,610000,Opex,105349.62
2024-02-01,CC100,1000,610000,Opex,108761.91
2024-03-01,CC100,1000,610000,Opex,102135.74
2024-04-01,CC100,1000,610000,Opex,102858.02
2024-05-01,CC100,1000,610000,Opex,91588.38
2024-06-01,CC100,1000,610000,Opex,109081.05
2024-07-01,CC100,1000,610000,Opex,107915.05
2024-08-01,CC100,1000,610000,Opex,108469.46
2024-09-01,CC100,1000,610000,Opex,134054.41
2024-10-01,CC100,1000,610000,Opex,102649.71
2024-11-01,CC100,1000,610000,Opex,111601.93
2024-12-01,CC100,1000,610000,Opex,102045.11
2024-01-01,CC100,1000,620000,Opex,14248.09
2024-02-01,CC100,1000,620000,Opex,13314.99
2024-03-01,CC100,1000,620000,Opex,15057.65
2024-04-01,CC100,1000,620000,Opex,17399.58
2024-05-01,CC100,1000,620000,Opex,13712.4
2024-06-01,CC100,1000,620000,Opex,14852.23
2024-07-01,CC100,1000,620000,Opex,13938.1
2024-08-01,CC100,1000,620000,Opex,13165.04
2024-09-01,CC100,1000,620000,Opex,14389.06
2024-10-01,CC100,1000,620000,Opex,13963.13
2024-11-01,CC100,1000,620000,Opex,13621.54
2024-12-01,CC100,1000,620000,Opex,13459.75
2024-01-01,CC100,1000,630000,Opex,11000.79
2024-02-01,CC100,1000,630000,Opex,12816.2
2024-03-01,CC100,1000,630000,Opex,11567.71
2024-04-01,CC100,1000,630000,Opex,10732.96
2024-05-01,CC100,1000,630000,Opex,13939.07
2024-06-01,CC100,1000,630000,Opex,11872.0
2024-07-01,CC100,1000,630000,Opex,13134.13
2024-08-01,CC100,1000,630000,Opex,10989.1
2024-09-01,CC100,1000,630000,Opex,12424.75
2024-10-01,CC100,1000,630000,Opex,12283.29
2024-11-01,CC100,1000,630000,Opex,13821.04
2024-12-01,CC100,1000,630000,Opex,12425.76
2024-01-01,CC100,1000,640000,Opex,8420.73
2024-02-01,CC100,1000,640000,Opex,10361.58
2024-03-01,CC100,1000,640000,Opex,8136.63
2024-04-01,CC100,1000,640000,Opex,10146.41
2024-05-01,CC100,1000,640000,Opex,8607.47
2024-06-01,CC100,1000,640000,Opex,8245.48
2024-07-01,CC100,1000,640000,Opex,8804.78
2024-08-01,CC100,1000,640000,Opex,10224.62
2024-09-01,CC100,1000,640000,Opex,10560.69
2024-10-01,CC100,1000,640000,Opex,8154.52
2024-11-01,CC100,1000,640000,Opex,8834.86
2024-12-01,CC100,1000,640000,Opex,7983.38
2024-01-01,CC100,2000,600000,Opex,119944.32
2024-02-01,CC100,2000,600000,Opex,118527.15
2024-03-01,CC100,2000,600000,Opex,121081.34
2024-04-01,CC100,2000,600000,Opex,123267.56
2024-05-01,CC100,2000,600000,Opex,125502.12
2024-06-01,CC100,2000,600000,Opex,123586.4
2024-07-01,CC100,2000,600000,Opex,125510.98
2024-08-01,CC100,2000,600000,Opex,127933.03
2024-09-01,CC100,2000,600000,Opex,135146.27
2024-10-01,CC100,2000,600000,Opex,121719.47
2024-11-01,CC100,2000,600000,Opex,132015.75
2024-12-01,CC100,2000,600000,Opex,134765.74
2024-01-01,CC100,2000,600100,Opex,24170.33
2024-02-01,CC100,2000,600100,Opex,24272.77
2024-03-01,CC100,2000,600100,Opex,25272.41
2024-04-01,CC100,2000,600100,Opex,24857.83
2024-05-01,CC100,2000,600100,Opex,26078.6
2024-06-01,CC100,2000,600100,Opex,24970.97
2024-07-01,CC100,2000,600100,Opex,26421.45
2024-08-01,CC100,2000,600100,Opex,26035.25
2024-09-01,CC100,2000,600100,Opex,27751.85
2024-10-01,CC100,2000,600100,Opex,26748.96
2024-11-01,CC100,2000,600100,Opex,27124.46
2024-12-01,CC100,2000,600100,Opex,27275.22
2024-01-01,CC100,2000,600200,Opex,9020.16
2024-02-01,CC100,2000,600200,Opex,9451.08
2024-03-01,CC100,2000,600200,Opex,9087.45
2024-04-01,CC100,2000,600200,Opex,9353.34
2024-05-01,CC100,2000,600200,Opex,9707.5
2024-06-01,CC100,2000,600200,Opex,9971.5
2024-07-01,CC100,2000,600200,Opex,9626.72
2024-08-01,CC100,2000,600200,Opex,10079.04
2024-09-01,CC100,2000,600200,Opex,10236.4
2024-10-01,CC100,2000,600200,Opex,10123.82
2024-11-01,CC100,2000,600200,Opex,10061.99
2024-12-01,CC100,2000,600200,Opex,9913.7
2024-01-01,CC100,2000,610000,Opex,54496.4
2024-02-01,CC100,2000,610000,Opex,62036.44
2024-03-01,CC100,2000,610000,Opex,54840.93
2024-04-01,CC100,2000,610000,Opex,53329.36
2024-05-01,CC100,2000,610000,Opex,56914.63
2024-06-01,CC100,2000,610000,Opex,49209.97
2024-07-01,CC100,2000,610000,Opex,57344.5
2024-08-01,CC100,2000,610000,Opex,65067.32
2024-09-01,CC100,2000,610000,Opex,64273.94
2024-10-01,CC100,2000,610000,Opex,44300.25
2024-11-01,CC100,2000,610000,Opex,62461.99
2024-12-01,CC100,2000,610000,Opex,57724.48
2024-01-01,CC100,2000,620000,Opex,6888.61
2024-02-01,CC100,2000,620000,Opex,7253.27
2024-03-01,CC100,2000,620000,Opex,7190.3
2024-04-01,CC100,2000,620000,Opex,8204.46
2024-05-01,CC100,2000,620000,Opex,8302.51
2024-06-01,CC100,2000,620000,Opex,7472.34
2024-07-01,CC100,2000,620000,Opex,8161.6
2024-08-01,CC100,2000,620000,Opex,8907.46
2024-09-01,CC100,2000,620000,Opex,8822.56
2024-10-01,CC100,2000,620000,Opex,7449.97
2024-11-01,CC100,2000,620000,Opex,8028.36
2024-12-01,CC100,2000,620000,Opex,7869.43
2024-01-01,CC100,2000,630000,Opex,6357.91
2024-02-01,CC100,2000,630000,Opex,5865.48
2024-03-01,CC100,2000,630000,Opex,6924.46
2024-04-01,CC100,2000,630000,Opex,6625.7
2024-05-01,CC100,2000,630000,Opex,7948.28
2024-06-01,CC100,2000,630000,Opex,5961.49
2024-07-01,CC100,2000,630000,Opex,7244.9
2024-08-01,CC100,2000,630000,Opex,7310.18
2024-09-01,CC100,2000,630000,Opex,7181.87
2024-10-01,CC100,2000,630000,Opex,7039.81
2024-11-01,CC100,2000,630000,Opex,7330.42
2024-12-01,CC100,2000,630000,Opex,7024.86
2024-01-01,CC100,2000,640000,Opex,3801.37
2024-02-01,CC100,2000,640000,Opex,4462.66
2024-03-01,CC100,2000,640000,Opex,3932.36
2024-04-01,CC100,2000,640000,Opex,4451.45
2024-05-01,CC100,2000,640000,Opex,4778.41
2024-06-01,CC100,2000,640000,Opex,5248.29
2024-07-01,CC100,2000,640000,Opex,5134.1
2024-08-01,CC100,2000,640000,Opex,4608.67
2024-09-01,CC100,2000,640000,Opex,4721.97
2024-10-01,CC100,2000,640000,Opex,5995.01
2024-11-01,CC100,2000,640000,Opex,4376.49
2024-12-01,CC100,2000,640000,Opex,5790.07
2024-01-01,CC100,3000,600000,Opex,61262.64
2024-02-01,CC100,3000,600000,Opex,58549.01
2024-03-01,CC100,3000,600000,Opex,59632.44
2024-04-01,CC100,3000,600000,Opex,61360.88
2024-05-01,CC100,3000,600000,Opex,62730.66
2024-06-01,CC100,3000,600000,Opex,62254.05
2024-07-01,CC100,3000,600000,Opex,63686.7
2024-08-01,CC100,3000,600000,Opex,62974.9
2024-09-01,CC100,3000,600000,Opex,63903.44
2024-10-01,CC100,3000,600000,Opex,65142.11
2024-11-01,CC100,3000,600000,Opex,66390.64
2024-12-01,CC100,3000,600000,Opex,63884.65
2024-01-01,CC100,3000,600100,Opex,12429.64
2024-02-01,CC100,3000,600100,Opex,12115.16
2024-03-01,CC100,3000,600100,Opex,12463.91
2024-04-01,CC100,3000,600100,Opex,13132.53
2024-05-01,CC100,3000,600100,Opex,13085.59
2024-06-01,CC100,3000,600100,Opex,13166.4
2024-07-01,CC100,3000,600100,Opex,13284.25
2024-08-01,CC100,3000,600100,Opex,13695.26
2024-09-01,CC100,3000,600100,Opex,13325.57
2024-10-01,CC100,3000,600100,Opex,13162.45
2024-11-01,CC100,3000,600100,Opex,14111.03
2024-12-01,CC100,3000,600100,Opex,13646.48
2024-01-01,CC100,3000,600200,Opex,4641.11
2024-02-01,CC100,3000,600200,Opex,4535.26
2024-03-01,CC100,3000,600200,Opex,4784.22
2024-04-01,CC100,3000,600200,Opex,4885.53
2024-05-01,CC100,3000,600200,Opex,4912.37
2024-06-01,CC100,3000,600200,Opex,4752.3
2024-07-01,CC100,3000,600200,Opex,5037.71
2024-08-01,CC100,3000,600200,Opex,4953.83
2024-09-01,CC100,3000,600200,Opex,4980.42
2024-10-01,CC100,3000,600200,Opex,4990.53
2024-11-01,CC100,3000,600200,Opex,4992.18
2024-12-01,CC100,3000,600200,Opex,5089.33
2024-01-01,CC100,3000,610000,Opex,29582.13
2024-02-01,CC100,3000,610000,Opex,24925.04
2024-03-01,CC100,3000,610000,Opex,26882.71
2024-04-01,CC100,3000,610000,Opex,28749.09
2024-05-01,CC100,3000,610000,Opex,31363.52
2024-06-01,CC100,3000,610000,Opex,28884.26
2024-07-01,CC100,3000,610000,Opex,30186.55
2024-08-01,CC100,3000,610000,Opex,28355.48
2024-09-01,CC100,3000,610000,Opex,27830.42
2024-10-01,CC100,3000,610000,Opex,33235.44
2024-11-01,CC100,3000,610000,Opex,27701.6
2024-12-01,CC100,3000,610000,Opex,31782.62
2024-01-01,CC100,3000,620000,Opex,4488.75
2024-02-01,CC100,3000,620000,Opex,3843.48
2024-03-01,CC100,3000,620000,Opex,3651.18
2024-04-01,CC100,3000,620000,Opex,3950.26
2024-05-01,CC100,3000,620000,Opex,4260.9
2024-06-01,CC100,3000,620000,Opex,3678.98
2024-07-01,CC100,3000,620000,Opex,4088.76
2024-08-01,CC100,3000,620000,Opex,4706.87
2024-09-01,CC100,3000,620000,Opex,4454.54
2024-10-01,CC100,3000,620000,Opex,3904.41
2024-11-01,CC100,3000,620000,Opex,4463.24
2024-12-01,CC100,3000,620000,Opex,4345.44
2024-01-01,CC100,3000,630000,Opex,3390.56
2024-02-01,CC100,3000,630000,Opex,3157.75
2024-03-01,CC100,3000,630000,Opex,3674.42
2024-04-01,CC100,3000,630000,Opex,3186.03
2024-05-01,CC100,3000,630000,Opex,2837.84
2024-06-01,CC100,3000,630000,Opex,3900.36
2024-07-01,CC100,3000,630000,Opex,2838.96
2024-08-01,CC100,3000,630000,Opex,3508.89
2024-09-01,CC100,3000,630000,Opex,3649.89
2024-10-01,CC100,3000,630000,Opex,3072.36
2024-11-01,CC100,3000,630000,Opex,3457.05
2024-12-01,CC100,3000,630000,Opex,3147.83
2024-01-01,CC100,3000,640000,Opex,1883.73
2024-02-01,CC100,3000,640000,Opex,2672.91
2024-03-01,CC100,3000,640000,Opex,1983.62
2024-04-01,CC100,3000,640000,Opex,2506.05
2024-05-01,CC100,3000,640000,Opex,2795.57
2024-06-01,CC100,3000,640000,Opex,2122.56
2024-07-01,CC100,3000,640000,Opex,2189.68
2024-08-01,CC100,3000,640000,Opex,2606.65
2024-09-01,CC100,3000,640000,Opex,2520.8
2024-10-01,CC100,3000,640000,Opex,2383.53
2024-11-01,CC100,3000,640000,Opex,2636.36
2024-12-01,CC100,3000,640000,Opex,2471.39
2024-01-01,CC200,1000,600000,Opex,377898.38
2024-02-01,CC200,1000,600000,Opex,384524.88
2024-03-01,CC200,1000,600000,Opex,382938.41
2024-04-01,CC200,1000,600000,Opex,395652.11
2024-05-01,CC200,1000,600000,Opex,405098.08
2024-06-01,CC200,1000,600000,Opex,421824.32
2024-07-01,CC200,1000,600000,Opex,422496.53
2024-08-01,CC200,1000,600000,Opex,450921.31
2024-09-01,CC200,1000,600000,Opex,453600.21
2024-10-01,CC200,1000,600000,Opex,433168.09
2024-11-01,CC200,1000,600000,Opex,448173.16
2024-12-01,CC200,1000,600000,Opex,441416.58
2024-01-01,CC200,1000,600100,Opex,78559.39
2024-02-01,CC200,1000,600100,Opex,82068.38
2024-03-01,CC200,1000,600100,Opex,82887.82
2024-04-01,CC200,1000,600100,Opex,82427.76
2024-05-01,CC200,1000,600100,Opex,85561.67
2024-06-01,CC200,1000,600100,Opex,87085.23
2024-07-01,CC200,1000,600100,Opex,86135.29
2024-08-01,CC200,1000,600100,Opex,87516.74
2024-09-01,CC200,1000,600100,Opex,88311.93
2024-10-01,CC200,1000,600100,Opex,90804.32
2024-11-01,CC200,1000,600100,Opex,92197.95
2024-12-01,CC200,1000,600100,Opex,93991.97
2024-01-01,CC200,1000,600200,Opex,29848.13
2024-02-01,CC200,1000,600200,Opex,30052.3
2024-03-01,CC200,1000,600200,Opex,30502.4
2024-04-01,CC200,1000,600200,Opex,30033.48
2024-05-01,CC200,1000,600200,Opex,31411.47
2024-06-01,CC200,1000,600200,Opex,32515.09
2024-07-01,CC200,1000,600200,Opex,32577.07
2024-08-01,CC200,1000,600200,Opex,33863.63
2024-09-01,CC200,1000,600200,Opex,33759.56
2024-10-01,CC200,1000,600200,Opex,35072.04
2024-11-01,CC200,1000,600200,Opex,34898.55
2024-12-01,CC200,1000,600200,Opex,34519.16
2024-01-01,CC200,1000,620000,Opex,7597.44
2024-02-01,CC200,1000,620000,Opex,6698.23
2024-03-01,CC200,1000,620000,Opex,7890.74
2024-04-01,CC200,1000,620000,Opex,7392.27
2024-05-01,CC200,1000,620000,Opex,8229.38
2024-06-01,CC200,1000,620000,Opex,8097.37
2024-07-01,CC200,1000,620000,Opex,8117.21
2024-08-01,CC200,1000,620000,Opex,9582.08
2024-09-01,CC200,1000,620000,Opex,8402.65
2024-10-01,CC200,1000,620000,Opex,8244.26
2024-11-01,CC200,1000,620000,Opex,9109.26
2024-12-01,CC200,1000,620000,Opex,8015.03
2024-01-01,CC200,1000,630000,Opex,36606.36
2024-02-01,CC200,1000,630000,Opex,35037.55
2024-03-01,CC200,1000,630000,Opex,32276.05
2024-04-01,CC200,1000,630000,Opex,37695.88
2024-05-01,CC200,1000,630000,Opex,36969.38
2024-06-01,CC200,1000,630000,Opex,36925.8
2024-07-01,CC200,1000,630000,Opex,38365.35
2024-08-01,CC200,1000,630000,Opex,39008.93
2024-09-01,CC200,1000,630000,Opex,36705.03
2024-10-01,CC200,1000,630000,Opex,40910.02
2024-11-01,CC200,1000,630000,Opex,41463.32
2024-12-01,CC200,1000,630000,Opex,47908.47
2024-01-01,CC200,1000,640000,Opex,13833.74
2024-02-01,CC200,1000,640000,Opex,16109.09
2024-03-01,CC200,1000,640000,Opex,16497.18
2024-04-01,CC200,1000,640000,Opex,16540.6
2024-05-01,CC200,1000,640000,Opex,16470.55
2024-06-01,CC200,1000,640000,Opex,15914.78
2024-07-01,CC200,1000,640000,Opex,17215.7
2024-08-01,CC200,1000,640000,Opex,17069.83
2024-09-01,CC200,1000,640000,Opex,13782.49
2024-10-01,CC200,1000,640000,Opex,16555.53
2024-11-01,CC200,1000,640000,Opex,16658.58
2024-12-01,CC200,1000,640000,Opex,17147.58
2024-01-01,CC200,1000,660000,Opex,14352.91
2024-02-01,CC200,1000,660000,Opex,15379.28
2024-03-01,CC200,1000,660000,Opex,14971.39
2024-04-01,CC200,1000,660000,Opex,16757.79
2024-05-01,CC200,1000,660000,Opex,16282.69
2024-06-01,CC200,1000,660000,Opex,16005.58
2024-07-01,CC200,1000,660000,Opex,16747.38
2024-08-01,CC200,1000,660000,Opex,17045.44
2024-09-01,CC200,1000,660000,Opex,16842.26
2024-10-01,CC200,1000,660000,Opex,15656.66
2024-11-01,CC200,1000,660000,Opex,18692.01
2024-12-01,CC200,1000,660000,Opex,15946.47
2024-01-01,CC200,2000,600000,Opex,208844.32
2024-02-01,CC200,2000,600000,Opex,215057.9
2024-03-01,CC200,2000,600000,Opex,212889.05
2024-04-01,CC200,2000,600000,Opex,214807.99
2024-05-01,CC200,2000,600000,Opex,232874.01
2024-06-01,CC200,2000,600000,Opex,232964.0
2024-07-01,CC200,2000,600000,Opex,231832.55
2024-08-01,CC200,2000,600000,Opex,238287.19
2024-09-01,CC200,2000,600000,Opex,247245.14
2024-10-01,CC200,2000,600000,Opex,244777.87
2024-11-01,CC200,2000,600000,Opex,241671.54
2024-12-01,CC200,2000,600000,Opex,235301.58
2024-01-01,CC200,2000,600100,Opex,42150.15
2024-02-01,CC200,2000,600100,Opex,44401.12
2024-03-01,CC200,2000,600100,Opex,45599.16
2024-04-01,CC200,2000,600100,Opex,43847.62
2024-05-01,CC200,2000,600100,Opex,46695.27
2024-06-01,CC200,2000,600100,Opex,48956.43
2024-07-01,CC200,2000,600100,Opex,45617.69
2024-08-01,CC200,2000,600100,Opex,49396.1
2024-09-01,CC200,2000,600100,Opex,49847.96
2024-10-01,CC200,2000,600100,Opex,49262.6
2024-11-01,CC200,2000,600100,Opex,48736.72
2024-12-01,CC200,2000,600100,Opex,48486.31
2024-01-01,CC200,2000,600200,Opex,15963.55
2024-02-01,CC200,2000,600200,Opex,16583.39
2024-03-01,CC200,2000,600200,Opex,17024.98
2024-04-01,CC200,2000,600200,Opex,17015.0
2024-05-01,CC200,2000,600200,Opex,17268.59
2024-06-01,CC200,2000,600200,Opex,17385.35
2024-07-01,CC200,2000,600200,Opex,17475.71
2024-08-01,CC200,2000,600200,Opex,18002.19
2024-09-01,CC200,2000,600200,Opex,18081.96
2024-10-01,CC200,2000,600200,Opex,18435.49
2024-11-01,CC200,2000,600200,Opex,19052.28
2024-12-01,CC200,2000,600200,Opex,18877.6
2024-01-01,CC200,2000,620000,Opex,4494.37
2024-02-01,CC200,2000,620000,Opex,3903.13
2024-03-01,CC200,2000,620000,Opex,3752.0
2024-04-01,CC200,2000,620000,Opex,4040.41
2024-05-01,CC200,2000,620000,Opex,3805.75
2024-06-01,CC200,2000,620000,Opex,5529.21
2024-07-01,CC200,2000,620000,Opex,4719.7
2024-08-01,CC200,2000,620000,Opex,3642.16
2024-09-01,CC200,2000,620000,Opex,4883.66
2024-10-01,CC200,2000,620000,Opex,4277.82
2024-11-01,CC200,2000,620000,Opex,5054.78
2024-12-01,CC200,2000,620000,Opex,5114.48
2024-01-01,CC200,2000,630000,Opex,16409.74
2024-02-01,CC200,2000,630000,Opex,23959.06
2024-03-01,CC200,2000,630000,Opex,19413.04
