period,cost_center,company_code,headcount,avg_fully_loaded_cost
2023-06-01,CC300,3000,2.8,106470.0
2023-06-01,CC400,1000,15.3,99372.0
2023-06-01,CC400,2000,8.4,99372.0
2023-06-01,CC400,3000,4.2,99372.0
2023-06-01,CC500,1000,8.1,123708.0
2023-06-01,CC500,2000,4.4,123708.0
2023-06-01,CC500,3000,2.2,123708.0
2023-07-01,CC100,1000,24.5,119927.33333333333
2023-07-01,CC100,2000,13.4,119927.33333333333
2023-07-01,CC100,3000,6.7,119927.33333333333
2023-07-01,CC200,1000,34.7,154482.66666666666
2023-07-01,CC200,2000,18.9,154482.66666666666
2023-07-01,CC200,3000,9.5,154482.66666666666
2023-07-01,CC300,1000,10.3,106715.0
2023-07-01,CC300,2000,5.6,106715.0
2023-07-01,CC300,3000,2.8,106715.0
2023-07-01,CC400,1000,15.4,99600.66666666667
2023-07-01,CC400,2000,8.4,99600.66666666667
2023-07-01,CC400,3000,4.2,99600.66666666667
2023-07-01,CC500,1000,8.2,123992.66666666666
2023-07-01,CC500,2000,4.5,123992.66666666666
2023-07-01,CC500,3000,2.2,123992.66666666666
2023-08-01,CC100,1000,24.9,120202.66666666666
2023-08-01,CC100,2000,13.6,120202.66666666666
2023-08-01,CC100,3000,6.8,120202.66666666666
2023-08-01,CC200,1000,35.2,154837.3333333333
2023-08-01,CC200,2000,19.2,154837.3333333333
2023-08-01,CC200,3000,9.6,154837.3333333333
2023-08-01,CC300,1000,10.3,106960.0
2023-08-01,CC300,2000,5.6,106960.0
2023-08-01,CC300,3000,2.8,106960.0
2023-08-01,CC400,1000,15.6,99829.33333333333
2023-08-01,CC400,2000,8.5,99829.33333333333
2023-08-01,CC400,3000,4.3,99829.33333333333
2023-08-01,CC500,1000,8.3,124277.33333333333
2023-08-01,CC500,2000,4.5,124277.33333333333
2023-08-01,CC500,3000,2.3,124277.33333333333
2023-09-01,CC100,1000,24.9,120477.99999999999
2023-09-01,CC100,2000,13.6,120477.99999999999
2023-09-01,CC100,3000,6.8,120477.99999999999
2023-09-01,CC200,1000,35.8,155192.0
2023-09-01,CC200,2000,19.5,155192.0
2023-09-01,CC200,3000,9.8,155192.0
2023-09-01,CC300,1000,10.3,107204.99999999999
2023-09-01,CC300,2000,5.6,107204.99999999999
2023-09-01,CC300,3000,2.8,107204.99999999999
2023-09-01,CC400,1000,15.8,100057.99999999999
2023-09-01,CC400,2000,8.6,100057.99999999999
2023-09-01,CC400,3000,4.3,100057.99999999999
2023-09-01,CC500,1000,8.3,124561.99999999999
2023-09-01,CC500,2000,4.5,124561.99999999999
2023-09-01,CC500,3000,2.3,124561.99999999999
2023-10-01,CC100,1000,24.8,120753.33333333334
2023-10-01,CC100,2000,13.5,120753.33333333334
2023-10-01,CC100,3000,6.8,120753.33333333334
2023-10-01,CC200,1000,35.8,155546.6666666667
2023-10-01,CC200,2000,19.5,155546.6666666667
2023-10-01,CC200,3000,9.8,155546.6666666667
2023-10-01,CC300,1000,10.3,107450.00000000001
2023-10-01,CC300,2000,5.6,107450.00000000001
2023-10-01,CC300,3000,2.8,107450.00000000001
2023-10-01,CC400,1000,16.0,100286.66666666667
2023-10-01,CC400,2000,8.7,100286.66666666667
2023-10-01,CC400,3000,4.4,100286.66666666667
2023-10-01,CC500,1000,8.4,124846.66666666667
2023-10-01,CC500,2000,4.6,124846.66666666667
2023-10-01,CC500,3000,2.3,124846.66666666667
2023-11-01,CC100,1000,25.1,121028.66666666667
2023-11-01,CC100,2000,13.7,121028.66666666667
2023-11-01,CC100,3000,6.9,121028.66666666667
2023-11-01,CC200,1000,35.9,155901.33333333334
2023-11-01,CC200,2000,19.6,155901.33333333334
2023-11-01,CC200,3000,9.8,155901.33333333334
2023-11-01,CC300,1000,10.4,107695.0
2023-11-01,CC300,2000,5.6,107695.0
2023-11-01,CC300,3000,2.8,107695.0
2023-11-01,CC400,1000,16.1,100515.33333333334
2023-11-01,CC400,2000,8.8,100515.33333333334
2023-11-01,CC400,3000,4.4,100515.33333333334
2023-11-01,CC500,1000,8.4,125131.33333333334
2023-11-01,CC500,2000,4.6,125131.33333333334
2023-11-01,CC500,3000,2.3,125131.33333333334
2023-12-01,CC100,1000,25.4,121304.0
2023-12-01,CC100,2000,13.8,121304.0
2023-12-01,CC100,3000,6.9,121304.0
2023-12-01,CC200,1000,36.2,156256.0
2023-12-01,CC200,2000,19.7,156256.0
2023-12-01,CC200,3000,9.9,156256.0
2023-12-01,CC300,1000,10.4,107940.0
2023-12-01,CC300,2000,5.7,107940.0
2023-12-01,CC300,3000,2.8,107940.0
2023-12-01,CC400,1000,16.4,100744.0
2023-12-01,CC400,2000,8.9,100744.0
2023-12-01,CC400,3000,4.5,100744.0
2023-12-01,CC500,1000,8.5,125416.0
2023-12-01,CC500,2000,4.6,125416.0
2023-12-01,CC500,3000,2.3,125416.0
2024-01-01,CC100,1000,25.7,121579.33333333333
2024-01-01,CC100,2000,14.0,121579.33333333333
2024-01-01,CC100,3000,7.0,121579.33333333333
2024-01-01,CC200,1000,36.3,156610.66666666666
2024-01-01,CC200,2000,19.8,156610.66666666666
2024-01-01,CC200,3000,9.9,156610.66666666666
2024-01-01,CC300,1000,10.4,108185.0
2024-01-01,CC300,2000,5.7,108185.0
2024-01-01,CC300,3000,2.8,108185.0
2024-01-01,CC400,1000,16.7,100972.66666666667
2024-01-01,CC400,2000,9.1,100972.66666666667
2024-01-01,CC400,3000,4.5,100972.66666666667
2024-01-01,CC500,1000,8.4,125700.66666666667
2024-01-01,CC500,2000,4.6,125700.66666666667
2024-01-01,CC500,3000,2.3,125700.66666666667
2024-02-01,CC100,1000,25.8,121854.66666666666
2024-02-01,CC100,2000,14.1,121854.66666666666
2024-02-01,CC100,3000,7.0,121854.66666666666
2024-02-01,CC200,1000,36.9,156965.3333333333
2024-02-01,CC200,2000,20.1,156965.3333333333
2024-02-01,CC200,3000,10.1,156965.3333333333
2024-02-01,CC300,1000,10.4,108430.0
2024-02-01,CC300,2000,5.7,108430.0
2024-02-01,CC300,3000,2.8,108430.0
2024-02-01,CC400,1000,16.9,101201.33333333333
2024-02-01,CC400,2000,9.2,101201.33333333333
2024-02-01,CC400,3000,4.6,101201.33333333333
2024-02-01,CC500,1000,8.5,125985.33333333333
2024-02-01,CC500,2000,4.6,125985.33333333333
2024-02-01,CC500,3000,2.3,125985.33333333333
2024-03-01,CC100,1000,26.1,122129.99999999999
2024-03-01,CC100,2000,14.2,122129.99999999999
2024-03-01,CC100,3000,7.1,122129.99999999999
2024-03-01,CC200,1000,37.3,157320.0
2024-03-01,CC200,2000,20.4,157320.0
2024-03-01,CC200,3000,10.2,157320.0
2024-03-01,CC300,1000,10.6,108674.99999999999
2024-03-01,CC300,2000,5.8,108674.99999999999
2024-03-01,CC300,3000,2.9,108674.99999999999
2024-03-01,CC400,1000,17.1,101429.99999999999
2024-03-01,CC400,2000,9.3,101429.99999999999
2024-03-01,CC400,3000,4.7,101429.99999999999
2024-03-01,CC500,1000,8.6,126269.99999999999
2024-03-01,CC500,2000,4.7,126269.99999999999
2024-03-01,CC500,3000,2.3,126269.99999999999
2024-04-01,CC100,1000,26.2,122405.33333333331
2024-04-01,CC100,2000,14.3,122405.33333333331
2024-04-01,CC100,3000,7.2,122405.33333333331
2024-04-01,CC200,1000,37.6,157674.66666666666
2024-04-01,CC200,2000,20.5,157674.66666666666
2024-04-01,CC200,3000,10.3,157674.66666666666
2024-04-01,CC300,1000,10.6,108919.99999999999
2024-04-01,CC300,2000,5.8,108919.99999999999
2024-04-01,CC300,3000,2.9,108919.99999999999
2024-04-01,CC400,1000,17.3,101658.66666666666
2024-04-01,CC400,2000,9.5,101658.66666666666
2024-04-01,CC400,3000,4.7,101658.66666666666
2024-04-01,CC500,1000,8.7,126554.66666666666
2024-04-01,CC500,2000,4.7,126554.66666666666
2024-04-01,CC500,3000,2.4,126554.66666666666
2024-05-01,CC100,1000,26.5,122680.66666666667
2024-05-01,CC100,2000,14.5,122680.66666666667
2024-05-01,CC100,3000,7.2,122680.66666666667
2024-05-01,CC200,1000,38.6,158029.33333333334
2024-05-01,CC200,2000,21.0,158029.33333333334
2024-05-01,CC200,3000,10.5,158029.33333333334
2024-05-01,CC300,1000,10.6,109165.00000000001
2024-05-01,CC300,2000,5.8,109165.00000000001
2024-05-01,CC300,3000,2.9,109165.00000000001
2024-05-01,CC400,1000,17.5,101887.33333333334
2024-05-01,CC400,2000,9.5,101887.33333333334
2024-05-01,CC400,3000,4.8,101887.33333333334
2024-05-01,CC500,1000,8.8,126839.33333333334
2024-05-01,CC500,2000,4.8,126839.33333333334
2024-05-01,CC500,3000,2.4,126839.33333333334
2024-06-01,CC100,1000,26.7,122956.0
2024-06-01,CC100,2000,14.6,122956.0
2024-06-01,CC100,3000,7.3,122956.0
2024-06-01,CC200,1000,38.6,158384.0
2024-06-01,CC200,2000,21.0,158384.0
2024-06-01,CC200,3000,10.5,158384.0
2024-06-01,CC300,1000,10.6,109410.0
2024-06-01,CC300,2000,5.8,109410.0
2024-06-01,CC300,3000,2.9,109410.0
2024-06-01,CC400,1000,17.5,102116.0
2024-06-01,CC400,2000,9.5,102116.0
2024-06-01,CC400,3000,4.8,102116.0
2024-06-01,CC500,1000,8.9,127124.0
2024-06-01,CC500,2000,4.8,127124.0
2024-06-01,CC500,3000,2.4,127124.0
2024-07-01,CC100,1000,26.9,123231.33333333333
2024-07-01,CC100,2000,14.7,123231.33333333333
2024-07-01,CC100,3000,7.3,123231.33333333333
2024-07-01,CC200,1000,39.4,158738.66666666666
2024-07-01,CC200,2000,21.5,158738.66666666666
2024-07-01,CC200,3000,10.7,158738.66666666666
2024-07-01,CC300,1000,10.7,109655.0
2024-07-01,CC300,2000,5.8,109655.0
2024-07-01,CC300,3000,2.9,109655.0
2024-07-01,CC400,1000,17.7,102344.66666666667
2024-07-01,CC400,2000,9.6,102344.66666666667
2024-07-01,CC400,3000,4.8,102344.66666666667
2024-07-01,CC500,1000,9.0,127408.66666666667
2024-07-01,CC500,2000,4.9,127408.66666666667
2024-07-01,CC500,3000,2.5,127408.66666666667
2024-08-01,CC100,1000,26.8,123506.66666666666
2024-08-01,CC100,2000,14.6,123506.66666666666
2024-08-01,CC100,3000,7.3,123506.66666666666
2024-08-01,CC200,1000,39.9,159093.3333333333
2024-08-01,CC200,2000,21.8,159093.3333333333
2024-08-01,CC200,3000,10.9,159093.3333333333
2024-08-01,CC300,1000,10.7,109900.0
2024-08-01,CC300,2000,5.9,109900.0
2024-08-01,CC300,3000,2.9,109900.0
2024-08-01,CC400,1000,17.7,102573.33333333333
2024-08-01,CC400,2000,9.7,102573.33333333333
2024-08-01,CC400,3000,4.8,102573.33333333333
2024-08-01,CC500,1000,9.2,127693.33333333333
2024-08-01,CC500,2000,5.0,127693.33333333333
2024-08-01,CC500,3000,2.5,127693.33333333333
2024-09-01,CC100,1000,27.1,123781.99999999999
2024-09-01,CC100,2000,14.8,123781.99999999999
2024-09-01,CC100,3000,7.4,123781.99999999999
2024-09-01,CC200,1000,40.3,159448.0
2024-09-01,CC200,2000,22.0,159448.0
2024-09-01,CC200,3000,11.0,159448.0
2024-09-01,CC300,1000,10.8,110145.0
2024-09-01,CC300,2000,5.9,110145.0
2024-09-01,CC300,3000,3.0,110145.0
2024-09-01,CC400,1000,18.1,102802.0
2024-09-01,CC400,2000,9.9,102802.0
2024-09-01,CC400,3000,4.9,102802.0
2024-09-01,CC500,1000,9.3,127977.99999999999
2024-09-01,CC500,2000,5.0,127977.99999999999
2024-09-01,CC500,3000,2.5,127977.99999999999
2024-10-01,CC100,1000,27.4,124057.33333333334
2024-10-01,CC100,2000,14.9,124057.33333333334
2024-10-01,CC100,3000,7.5,124057.33333333334
2024-10-01,CC200,1000,40.7,159802.6666666667
2024-10-01,CC200,2000,22.2,159802.6666666667
2024-10-01,CC200,3000,11.1,159802.6666666667
2024-10-01,CC300,1000,10.8,110390.00000000001
2024-10-01,CC300,2000,5.9,110390.00000000001
2024-10-01,CC300,3000,2.9,110390.00000000001
2024-10-01,CC400,1000,18.4,103030.66666666667
2024-10-01,CC400,2000,10.1,103030.66666666667
2024-10-01,CC400,3000,5.0,103030.66666666667
2024-10-01,CC500,1000,9.3,128262.66666666669
2024-10-01,CC500,2000,5.1,128262.66666666669
2024-10-01,CC500,3000,2.5,128262.66666666669
2024-11-01,CC100,1000,27.7,124332.66666666667
2024-11-01,CC100,2000,15.1,124332.66666666667
2024-11-01,CC100,3000,7.5,124332.66666666667
2024-11-01,CC200,1000,41.1,160157.33333333334
2024-11-01,CC200,2000,22.4,160157.33333333334
2024-11-01,CC200,3000,11.2,160157.33333333334
2024-11-01,CC300,1000,10.9,110635.00000000001
2024-11-01,CC300,2000,5.9,110635.00000000001
2024-11-01,CC300,3000,3.0,110635.00000000001
2024-11-01,CC400,1000,18.7,103259.33333333334
2024-11-01,CC400,2000,10.2,103259.33333333334
2024-11-01,CC400,3000,5.1,103259.33333333334
2024-11-01,CC500,1000,9.5,128547.33333333334
2024-11-01,CC500,2000,5.2,128547.33333333334
2024-11-01,CC500,3000,2.6,128547.33333333334
2024-12-01,CC100,1000,27.8,124608.0
2024-12-01,CC100,2000,15.2,124608.0
2024-12-01,CC100,3000,7.6,124608.0
2024-12-01,CC200,1000,41.5,160512.0
2024-12-01,CC200,2000,22.6,160512.0
2024-12-01,CC200,3000,11.3,160512.0
2024-12-01,CC300,1000,10.8,110880.0
2024-12-01,CC300,2000,5.9,110880.0
2024-12-01,CC300,3000,3.0,110880.0
2024-12-01,CC400,1000,18.8,103488.0
2024-12-01,CC400,2000,10.3,103488.0
2024-12-01,CC400,3000,5.1,103488.0
2024-12-01,CC500,1000,9.6,128832.0
2024-12-01,CC500,2000,5.2,128832.0
2024-12-01,CC500,3000,2.6,128832.0
2025-01-01,CC100,1000,28.2,124883.33333333333
2025-01-01,CC100,2000,15.4,124883.33333333333
2025-01-01,CC100,3000,7.7,124883.33333333333
2025-01-01,CC200,1000,41.8,160866.66666666666
2025-01-01,CC200,2000,22.8,160866.66666666666
2025-01-01,CC200,3000,11.4,160866.66666666666
2025-01-01,CC300,1000,10.9,111125.0
2025-01-01,CC300,2000,6.0,111125.0
2025-01-01,CC300,3000,3.0,111125.0
2025-01-01,CC400,1000,19.2,103716.66666666667
2025-01-01,CC400,2000,10.5,103716.66666666667
2025-01-01,CC400,3000,5.2,103716.66666666667
2025-01-01,CC500,1000,9.7,129116.66666666667
2025-01-01,CC500,2000,5.3,129116.66666666667
2025-01-01,CC500,3000,2.6,129116.66666666667
2025-02-01,CC100,1000,28.8,125158.66666666667
2025-02-01,CC100,2000,15.7,125158.66666666667
2025-02-01,CC100,3000,7.8,125158.66666666667
2025-02-01,CC200,1000,42.1,161221.33333333334
2025-02-01,CC200,2000,22.9,161221.33333333334
2025-02-01,CC200,3000,11.5,161221.33333333334
2025-02-01,CC300,1000,10.9,111370.0
2025-02-01,CC300,2000,5.9,111370.0
2025-02-01,CC300,3000,3.0,111370.0
2025-02-01,CC400,1000,19.2,103945.33333333333
2025-02-01,CC400,2000,10.5,103945.33333333333
2025-02-01,CC400,3000,5.2,103945.33333333333
2025-02-01,CC500,1000,9.9,129401.33333333333
2025-02-01,CC500,2000,5.4,129401.33333333333
2025-02-01,CC500,3000,2.7,129401.33333333333
2025-03-01,CC100,1000,29.1,125434.0
2025-03-01,CC100,2000,15.9,125434.0
2025-03-01,CC100,3000,7.9,125434.0
2025-03-01,CC200,1000,42.6,161576.0
2025-03-01,CC200,2000,23.2,161576.0
2025-03-01,CC200,3000,11.6,161576.0
2025-03-01,CC300,1000,10.9,111615.0
2025-03-01,CC300,2000,6.0,111615.0
2025-03-01,CC300,3000,3.0,111615.0
2025-03-01,CC400,1000,19.3,104174.0
2025-03-01,CC400,2000,10.5,104174.0
2025-03-01,CC400,3000,5.3,104174.0
2025-03-01,CC500,1000,10.1,129686.0
2025-03-01,CC500,2000,5.5,129686.0
2025-03-01,CC500,3000,2.8,129686.0
2025-04-01,CC100,1000,29.4,125709.33333333333
2025-04-01,CC100,2000,16.1,125709.33333333333
2025-04-01,CC100,3000,8.0,125709.33333333333
2025-04-01,CC200,1000,43.1,161930.66666666666
2025-04-01,CC200,2000,23.5,161930.66666666666
2025-04-01,CC200,3000,11.8,161930.66666666666
2025-04-01,CC300,1000,11.0,111859.99999999999
2025-04-01,CC300,2000,6.0,111859.99999999999
2025-04-01,CC300,3000,3.0,111859.99999999999
2025-04-01,CC400,1000,19.5,104402.66666666666
2025-04-01,CC400,2000,10.7,104402.66666666666
2025-04-01,CC400,3000,5.3,104402.66666666666
2025-04-01,CC500,1000,10.2,129970.66666666666
2025-04-01,CC500,2000,5.6,129970.66666666666
2025-04-01,CC500,3000,2.8,129970.66666666666
2025-05-01,CC100,1000,29.6,125984.66666666667
2025-05-01,CC100,2000,16.1,125984.66666666667
2025-05-01,CC100,3000,8.1,125984.66666666667
2025-05-01,CC200,1000,43.7,162285.33333333334
2025-05-01,CC200,2000,23.9,162285.33333333334
2025-05-01,CC200,3000,11.9,162285.33333333334
2025-05-01,CC300,1000,11.2,112105.00000000001
2025-05-01,CC300,2000,6.1,112105.00000000001
2025-05-01,CC300,3000,3.0,112105.00000000001
2025-05-01,CC400,1000,19.9,104631.33333333334
2025-05-01,CC400,2000,10.9,104631.33333333334
2025-05-01,CC400,3000,5.4,104631.33333333334
2025-05-01,CC500,1000,10.4,130255.33333333334
2025-05-01,CC500,2000,5.7,130255.33333333334
2025-05-01,CC500,3000,2.8,130255.33333333334
2025-06-01,CC100,1000,29.7,126260.00000000001
2025-06-01,CC100,2000,16.2,126260.00000000001
2025-06-01,CC100,3000,8.1,126260.00000000001
2025-06-01,CC200,1000,44.0,162640.0
2025-06-01,CC200,2000,24.0,162640.0
2025-06-01,CC200,3000,12.0,162640.0
2025-06-01,CC300,1000,11.2,112350.0
2025-06-01,CC300,2000,6.1,112350.0
2025-06-01,CC300,3000,3.0,112350.0
2025-06-01,CC400,1000,20.1,104860.0
2025-06-01,CC400,2000,11.0,104860.0
2025-06-01,CC400,3000,5.5,104860.0
2025-06-01,CC500,1000,10.6,130540.00000000001
2025-06-01,CC500,2000,5.8,130540.00000000001
2025-06-01,CC500,3000,2.9,130540.00000000001
2025-07-01,CC100,1000,29.7,126535.33333333334
2025-07-01,CC100,2000,16.2,126535.33333333334
2025-07-01,CC100,3000,8.1,126535.33333333334
2025-07-01,CC200,1000,44.9,162994.66666666666
2025-07-01,CC200,2000,24.5,162994.66666666666
2025-07-01,CC200,3000,12.3,162994.66666666666
2025-07-01,CC300,1000,11.2,112595.0
2025-07-01,CC300,2000,6.1,112595.0
2025-07-01,CC300,3000,3.1,112595.0
2025-07-01,CC400,1000,20.3,105088.66666666667
2025-07-01,CC400,2000,11.1,105088.66666666667
2025-07-01,CC400,3000,5.5,105088.66666666667
2025-07-01,CC500,1000,10.6,130824.66666666667
2025-07-01,CC500,2000,5.8,130824.66666666667
2025-07-01,CC500,3000,2.9,130824.66666666667
2025-08-01,CC100,1000,29.7,126810.66666666667
2025-08-01,CC100,2000,16.2,126810.66666666667
2025-08-01,CC100,3000,8.1,126810.66666666667
2025-08-01,CC200,1000,45.7,163349.33333333334
2025-08-01,CC200,2000,24.9,163349.33333333334
2025-08-01,CC200,3000,12.5,163349.33333333334
2025-08-01,CC300,1000,11.2,112840.0
2025-08-01,CC300,2000,6.1,112840.0
2025-08-01,CC300,3000,3.1,112840.0
2025-08-01,CC400,1000,20.4,105317.33333333333
2025-08-01,CC400,2000,11.1,105317.33333333333
2025-08-01,CC400,3000,5.6,105317.33333333333
2025-08-01,CC500,1000,10.7,131109.33333333334
2025-08-01,CC500,2000,5.8,131109.33333333334
2025-08-01,CC500,3000,2.9,131109.33333333334
2025-09-01,CC100,1000,29.9,127086.0
2025-09-01,CC100,2000,16.3,127086.0
2025-09-01,CC100,3000,8.1,127086.0
2025-09-01,CC200,1000,46.7,163704.0
2025-09-01,CC200,2000,25.5,163704.0
2025-09-01,CC200,3000,12.7,163704.0
2025-09-01,CC300,1000,11.3,113085.0
2025-09-01,CC300,2000,6.1,113085.0
2025-09-01,CC300,3000,3.1,113085.0
2025-09-01,CC400,1000,20.4,105546.0
2025-09-01,CC400,2000,11.1,105546.0
2025-09-01,CC400,3000,5.6,105546.0
2025-09-01,CC500,1000,10.8,131394.0
2025-09-01,CC500,2000,5.9,131394.0
2025-09-01,CC500,3000,2.9,131394.0
2025-10-01,CC100,1000,30.1,127361.33333333333
2025-10-01,CC100,2000,16.4,127361.33333333333
2025-10-01,CC100,3000,8.2,127361.33333333333
2025-10-01,CC200,1000,46.5,164058.66666666666
2025-10-01,CC200,2000,25.4,164058.66666666666
2025-10-01,CC200,3000,12.7,164058.66666666666
2025-10-01,CC300,1000,11.3,113329.99999999999
2025-10-01,CC300,2000,6.2,113329.99999999999
2025-10-01,CC300,3000,3.1,113329.99999999999
2025-10-01,CC400,1000,20.6,105774.66666666666
2025-10-01,CC400,2000,11.2,105774.66666666666
2025-10-01,CC400,3000,5.6,105774.66666666666
2025-10-01,CC500,1000,10.9,131678.66666666666
2025-10-01,CC500,2000,6.0,131678.66666666666
2025-10-01,CC500,3000,3.0,131678.66666666666
2025-11-01,CC100,1000,30.7,127636.66666666666
2025-11-01,CC100,2000,16.7,127636.66666666666
2025-11-01,CC100,3000,8.4,127636.66666666666
2025-11-01,CC200,1000,47.4,164413.3333333333
2025-11-01,CC200,2000,25.8,164413.3333333333
2025-11-01,CC200,3000,12.9,164413.3333333333
2025-11-01,CC300,1000,11.3,113574.99999999999
2025-11-01,CC300,2000,6.2,113574.99999999999
2025-11-01,CC300,3000,3.1,113574.99999999999
2025-11-01,CC400,1000,20.7,106003.33333333333
2025-11-01,CC400,2000,11.3,106003.33333333333
2025-11-01,CC400,3000,5.6,106003.33333333333
2025-11-01,CC500,1000,11.2,131963.3333333333
2025-11-01,CC500,2000,6.1,131963.3333333333
2025-11-01,CC500,3000,3.1,131963.3333333333
2025-12-01,CC100,1000,31.0,127912.00000000001
2025-12-01,CC100,2000,16.9,127912.00000000001
2025-12-01,CC100,3000,8.5,127912.00000000001
2025-12-01,CC200,1000,47.9,164768.0
2025-12-01,CC200,2000,26.2,164768.0
2025-12-01,CC200,3000,13.1,164768.0
2025-12-01,CC300,1000,11.3,113820.00000000001
2025-12-01,CC300,2000,6.2,113820.00000000001
2025-12-01,CC300,3000,3.1,113820.00000000001
2025-12-01,CC400,1000,21.0,106232.00000000001
2025-12-01,CC400,2000,11.4,106232.00000000001
2025-12-01,CC400,3000,5.7,106232.00000000001
2025-12-01,CC500,1000,11.3,132248.0
2025-12-01,CC500,2000,6.2,132248.0
2025-12-01,CC500,3000,3.1,132248.0
2026-01-01,CC100,1000,31.2,128187.33333333334
2026-01-01,CC100,2000,17.0,128187.33333333334
2026-01-01,CC100,3000,8.5,128187.33333333334
2026-01-01,CC200,1000,48.4,165122.6666666667
2026-01-01,CC200,2000,26.4,165122.6666666667
2026-01-01,CC200,3000,13.2,165122.6666666667
2026-01-01,CC300,1000,11.4,114065.0
2026-01-01,CC300,2000,6.2,114065.0
2026-01-01,CC300,3000,3.1,114065.0
2026-01-01,CC400,1000,21.1,106460.66666666667
2026-01-01,CC400,2000,11.5,106460.66666666667
2026-01-01,CC400,3000,5.8,106460.66666666667
2026-01-01,CC500,1000,11.4,132532.66666666666
2026-01-01,CC500,2000,6.2,132532.66666666666
2026-01-01,CC500,3000,3.1,132532.66666666666
