period,line_type,budget_amount,actual_amount,variance_abs,variance_pct
2025-04-01,Revenue,4419738.73,4251004.47,-168734.2600000007,-0.03817742864633102
2025-05-01,Opex,3989198.8,3893297.15,-95901.6499999999,-0.024040328599316714
2025-05-01,Revenue,4405736.26,4269875.42,-135860.83999999985,-0.030837261239055617
2025-06-01,Opex,3986715.66,3935421.71,-51293.950000000186,-0.012866217301286087
2025-06-01,Revenue,4646904.05,4386041.649999999,-260862.40000000037,-0.056136816511199616
2025-07-01,Opex,4036781.64,3982649.9099999997,-54131.73000000045,-0.013409625495621419
2025-07-01,Revenue,4492677.52,4396419.88,-96257.63999999966,-0.021425450540683292
2025-08-01,Opex,4061358.29,3989983.88,-71374.41000000015,-0.017574024477412
2025-08-01,Revenue,4535673.31,4439266.25,-96407.05999999959,-0.021255291863161017
2025-09-01,Opex,4225106.8,4035729.45,-189377.34999999963,-0.04482190840714361
2025-09-01,Revenue,4893951.43,4535633.42,-358318.0099999998,-0.07321650309063239
2025-10-01,Opex,4209463.08,4185051.84,-24411.240000000224,-0.005799133888590899
2025-10-01,Revenue,4803986.5,4531766.04,-272220.45999999996,-0.0566655339268751
2025-11-01,Opex,4283544.2,4105583.85,-177960.3500000001,-0.0415451181757387
2025-11-01,Revenue,4968553.19,4600535.69,-368017.5,-0.07406934894864232
2025-12-01,Opex,4117263.67,4170026.87,52763.200000000186,0.012815113198713403
2025-12-01,Revenue,5047768.73,4646410.86,-401357.8700000001,-0.07951193714851514
2026-01-01,Opex,4190306.7,4284593.04,94286.33999999985,0.022501059409326733
2026-01-01,Revenue,4927752.84,4676557.08,-251195.75999999978,-0.05097572223204275
2026-02-01,Opex,4239794.83,4277368.08,37573.25,0.008862044392841528
2026-02-01,Revenue,5044137.29,4742561.86,-301575.4299999997,-0.05978731597926029
2026-03-01,Opex,4382990.71,4363485.61,-19505.099999999627,-0.00445018054806683
2026-03-01,Revenue,5003114.04,4767737.149999999,-235376.8900000006,-0.04704607732667245
2026-04-01,Opex,4528655.37,4389345.68,-139309.6900000004,-0.030761821913598254
2026-04-01,Revenue,5101205.36,4880418.79,-220786.5700000003,-0.04328125500126901
2026-05-01,Opex,4516224.65,4505552.97,-10671.680000000633,-0.002362964827270192
2026-05-01,Revenue,5123850.51,4880743.23,-243107.27999999933,-0.04744620857410599
2026-06-01,Opex,4565089.140000001,4524863.350000001,-40225.79000000004,-0.008811611069658113
2026-06-01,Revenue,5263249.98,4915846.84,-347403.1400000006,-0.06600544175559006
2026-07-01,Opex,4619873.9,4506361.52,-113512.38000000082,-0.0245704498557852
2026-07-01,Revenue,5275703.85,4864742.94,-410960.9099999992,-0.07789688763519188
2026-08-01,Opex,4628381.3,4787573.83,159192.53000000026,0.03439486068271866
2026-08-01,Revenue,5327119.49,4987227.34,-339892.1500000004,-0.06380411602143363
2026-09-01,Opex,4681446.17,4759377.71,77931.54000000004,0.016646894393319497
2026-09-01,Revenue,5442760.09,4972539.4399999995,-470220.6500000004,-0.08639378591460209
2026-10-01,Opex,4854660.13,4755307.6899999995,-99352.44000000041,-0.020465374988053057
2026-10-01,Revenue,5438119.25,5000264.5,-437854.75,-0.08051584194296585
2026-11-01,Opex,4762477.29,4901125.47,138648.1799999997,0.029112617563788887
2026-11-01,Revenue,5520642.83,5102176.6,-418466.23000000045,-0.0758002723389371
2026-12-01,Opex,4837231.21,4766832.98,-70398.22999999952,-0.014553414328110961
2026-12-01,Revenue,5575693.03,5284234.22,-291458.8100000005,-0.05227310908828862
