period,dim1,dim2,gl_account,line_type,forecast_amount
2026-07-01,CC200,1000,630000,Opex,48577.39
2026-07-01,CC200,1000,640000,Opex,21535.49
2026-07-01,CC200,1000,660000,Opex,20503.88
2026-07-01,CC200,2000,600000,Opex,289596.1
2026-07-01,CC200,2000,600100,Opex,61149.75
2026-07-01,CC200,2000,600200,Opex,22335.76
2026-07-01,CC200,2000,620000,Opex,5315.01
2026-07-01,CC200,2000,630000,Opex,26980.89
2026-07-01,CC200,2000,640000,Opex,10695.77
2026-07-01,CC200,2000,660000,Opex,10974.03
2026-07-01,CC200,3000,600000,Opex,148068.68
2026-07-01,CC200,3000,600100,Opex,31031.73
2026-07-01,CC200,3000,600200,Opex,11145.48
2026-07-01,CC200,3000,620000,Opex,2866.92
2026-07-01,CC200,3000,630000,Opex,12596.96
2026-07-01,CC200,3000,640000,Opex,5935.41
2026-07-01,CC200,3000,660000,Opex,5891.97
2026-07-01,CC300,1000,600000,Opex,89082.29
2026-07-01,CC300,1000,600100,Opex,18586.2
2026-07-01,CC300,1000,600200,Opex,6796.03
2026-07-01,CC300,1000,630000,Opex,4406.8
2026-07-01,CC300,1000,640000,Opex,3692.17
2026-07-01,CC300,1000,650000,Opex,15763.94
2026-07-01,CC300,1000,660000,Opex,3394.69
2026-07-01,CC300,2000,600000,Opex,46731.37
2026-07-01,CC300,2000,600100,Opex,9941.18
2026-07-01,CC300,2000,600200,Opex,3643.06
2026-07-01,CC300,2000,630000,Opex,2466.63
2026-07-01,CC300,2000,640000,Opex,1850.94
2026-07-01,CC300,2000,650000,Opex,9779.82
2026-07-01,CC300,2000,660000,Opex,1856.79
2026-07-01,CC300,3000,600000,Opex,24423.52
2026-07-01,CC300,3000,600100,Opex,4952.04
2026-07-01,CC300,3000,600200,Opex,1832.56
2026-07-01,CC300,3000,630000,Opex,1373.83
2026-07-01,CC300,3000,640000,Opex,1043.7
2026-07-01,CC300,3000,650000,Opex,4931.57
2026-07-01,CC300,3000,660000,Opex,911.32
2026-07-01,CC400,1000,600000,Opex,155884.48
2026-07-01,CC400,1000,600100,Opex,31611.37
2026-07-01,CC400,1000,600200,Opex,11950.21
2026-07-01,CC400,1000,620000,Opex,3875.27
2026-07-01,CC400,1000,630000,Opex,9831.49
2026-07-01,CC400,1000,640000,Opex,6209.81
2026-07-01,CC400,2000,600000,Opex,83067.06
2026-07-01,CC400,2000,600100,Opex,17113.86
2026-07-01,CC400,2000,600200,Opex,6371.96
2026-07-01,CC400,2000,620000,Opex,2182.3
2026-07-01,CC400,2000,630000,Opex,5847.52
2026-07-01,CC400,2000,640000,Opex,2990.44
2026-07-01,CC400,3000,600000,Opex,41745.25
2026-07-01,CC400,3000,600100,Opex,8514.19
2026-07-01,CC400,3000,600200,Opex,3199.39
2026-07-01,CC400,3000,620000,Opex,984.92
2026-07-01,CC400,3000,630000,Opex,2353.02
2026-07-01,CC400,3000,640000,Opex,1640.76
2026-07-01,CC500,1000,500000,Opex,484949.34
2026-07-01,CC500,1000,500100,Opex,214402.16
2026-07-01,CC500,1000,600000,Opex,104367.53
2026-07-01,CC500,1000,600100,Opex,21043.31
2026-07-01,CC500,1000,600200,Opex,8157.56
2026-07-01,CC500,2000,500000,Opex,243429.53
2026-07-01,CC500,2000,500100,Opex,107983.04
2026-07-01,CC500,2000,600000,Opex,56076.23
2026-07-01,CC500,2000,600100,Opex,11479.16
2026-07-01,CC500,2000,600200,Opex,4342.68
2026-07-01,CC500,3000,500000,Opex,132126.88
2026-07-01,CC500,3000,500100,Opex,59268.52
2026-07-01,CC500,3000,600000,Opex,28156.29
2026-07-01,CC500,3000,600100,Opex,5794.51
2026-07-01,CC500,3000,600200,Opex,2186.98
2026-08-01,PC10,1000,400000,Revenue,1213619.55
2026-08-01,PC10,2000,400000,Revenue,670194.28
2026-08-01,PC10,3000,400000,Revenue,332308.1
2026-08-01,PC20,1000,400000,Revenue,866369.43
2026-08-01,PC20,2000,400000,Revenue,470002.74
2026-08-01,PC20,3000,400000,Revenue,234927.4
2026-08-01,PC30,1000,400100,Revenue,245631.31
2026-08-01,PC30,2000,400100,Revenue,134399.09
2026-08-01,PC30,3000,400100,Revenue,68075.64
2026-08-01,PC40,1000,400200,Revenue,436742.39
2026-08-01,PC40,2000,400200,Revenue,235530.26
2026-08-01,PC40,3000,400200,Revenue,121487.22
2026-08-01,CC100,1000,600000,Opex,276685.6
2026-08-01,CC100,1000,600100,Opex,56375.39
2026-08-01,CC100,1000,600200,Opex,21428.98
2026-08-01,CC100,1000,610000,Opex,124760.93
2026-08-01,CC100,1000,620000,Opex,19678.68
2026-08-01,CC100,1000,630000,Opex,13947.14
2026-08-01,CC100,1000,640000,Opex,11068.42
2026-08-01,CC100,2000,600000,Opex,154286.19
2026-08-01,CC100,2000,600100,Opex,31825.32
2026-08-01,CC100,2000,600200,Opex,11737.22
2026-08-01,CC100,2000,610000,Opex,66826.89
2026-08-01,CC100,2000,620000,Opex,10380.08
2026-08-01,CC100,2000,630000,Opex,7689.89
2026-08-01,CC100,2000,640000,Opex,5946.68
2026-08-01,CC100,3000,600000,Opex,76528.28
2026-08-01,CC100,3000,600100,Opex,15477.95
2026-08-01,CC100,3000,600200,Opex,5693.19
2026-08-01,CC100,3000,610000,Opex,35478.12
2026-08-01,CC100,3000,620000,Opex,4822.17
2026-08-01,CC100,3000,630000,Opex,3982.93
2026-08-01,CC100,3000,640000,Opex,3016.53
2026-08-01,CC200,1000,600000,Opex,542741.74
2026-08-01,CC200,1000,600100,Opex,114949.63
2026-08-01,CC200,1000,600200,Opex,42394.52
2026-08-01,CC200,1000,620000,Opex,11499.71
2026-08-01,CC200,1000,630000,Opex,49608.96
2026-08-01,CC200,1000,640000,Opex,21443.08
2026-08-01,CC200,1000,660000,Opex,21132.87
2026-08-01,CC200,2000,600000,Opex,293680.75
2026-08-01,CC200,2000,600100,Opex,60843.4
2026-08-01,CC200,2000,600200,Opex,22755.22
2026-08-01,CC200,2000,620000,Opex,5494.37
2026-08-01,CC200,2000,630000,Opex,28120.54
2026-08-01,CC200,2000,640000,Opex,10869.53
2026-08-01,CC200,2000,660000,Opex,11056.21
2026-08-01,CC200,3000,600000,Opex,148652.95
2026-08-01,CC200,3000,600100,Opex,29857.12
2026-08-01,CC200,3000,600200,Opex,11613.27
2026-08-01,CC200,3000,620000,Opex,2884.78
2026-08-01,CC200,3000,630000,Opex,12861.74
2026-08-01,CC200,3000,640000,Opex,5993.15
2026-08-01,CC200,3000,660000,Opex,5970.89
2026-08-01,CC300,1000,600000,Opex,90514.58
2026-08-01,CC300,1000,600100,Opex,18668.15
2026-08-01,CC300,1000,600200,Opex,6787.59
2026-08-01,CC300,1000,630000,Opex,4547.01
2026-08-01,CC300,1000,640000,Opex,3698.89
2026-08-01,CC300,1000,650000,Opex,15975.67
2026-08-01,CC300,1000,660000,Opex,3473.85
2026-08-01,CC300,2000,600000,Opex,47982.57
2026-08-01,CC300,2000,600100,Opex,9899.22
2026-08-01,CC300,2000,600200,Opex,3736.0
2026-08-01,CC300,2000,630000,Opex,2508.72
2026-08-01,CC300,2000,640000,Opex,1878.47
2026-08-01,CC300,2000,650000,Opex,10045.5
2026-08-01,CC300,2000,660000,Opex,1836.52
2026-08-01,CC300,3000,600000,Opex,24514.02
2026-08-01,CC300,3000,600100,Opex,5011.92
2026-08-01,CC300,3000,600200,Opex,1868.62
2026-08-01,CC300,3000,630000,Opex,1349.57
2026-08-01,CC300,3000,640000,Opex,1065.44
2026-08-01,CC300,3000,650000,Opex,4998.61
2026-08-01,CC300,3000,660000,Opex,917.69
2026-08-01,CC400,1000,600000,Opex,158602.87
2026-08-01,CC400,1000,600100,Opex,32439.1
2026-08-01,CC400,1000,600200,Opex,12112.16
2026-08-01,CC400,1000,620000,Opex,4026.4
2026-08-01,CC400,1000,630000,Opex,9677.34
2026-08-01,CC400,1000,640000,Opex,6322.78
2026-08-01,CC400,2000,600000,Opex,83572.17
2026-08-01,CC400,2000,600100,Opex,17178.09
2026-08-01,CC400,2000,600200,Opex,6378.63
2026-08-01,CC400,2000,620000,Opex,2206.71
2026-08-01,CC400,2000,630000,Opex,5821.73
2026-08-01,CC400,2000,640000,Opex,3067.87
2026-08-01,CC400,3000,600000,Opex,41676.44
2026-08-01,CC400,3000,600100,Opex,8566.9
2026-08-01,CC400,3000,600200,Opex,3279.61
2026-08-01,CC400,3000,620000,Opex,1012.67
2026-08-01,CC400,3000,630000,Opex,2407.6
2026-08-01,CC400,3000,640000,Opex,1655.27
2026-08-01,CC500,1000,500000,Opex,495644.64
2026-08-01,CC500,1000,500100,Opex,217546.84
2026-08-01,CC500,1000,600000,Opex,104820.55
2026-08-01,CC500,1000,600100,Opex,21593.0
2026-08-01,CC500,1000,600200,Opex,8210.8
2026-08-01,CC500,2000,500000,Opex,243366.63
2026-08-01,CC500,2000,500100,Opex,111923.6
2026-08-01,CC500,2000,600000,Opex,56530.56
2026-08-01,CC500,2000,600100,Opex,11773.24
2026-08-01,CC500,2000,600200,Opex,4366.3
2026-08-01,CC500,3000,500000,Opex,135690.08
2026-08-01,CC500,3000,500100,Opex,60867.48
2026-08-01,CC500,3000,600000,Opex,29041.6
2026-08-01,CC500,3000,600100,Opex,5889.44
2026-08-01,CC500,3000,600200,Opex,2220.27
2026-09-01,PC10,1000,400000,Revenue,1226815.32
2026-09-01,PC10,2000,400000,Revenue,660401.05
2026-09-01,PC10,3000,400000,Revenue,342649.24
2026-09-01,PC20,1000,400000,Revenue,883148.79
2026-09-01,PC20,2000,400000,Revenue,477110.14
2026-09-01,PC20,3000,400000,Revenue,242918.27
2026-09-01,PC30,1000,400100,Revenue,248763.29
2026-09-01,PC30,2000,400100,Revenue,137579.13
2026-09-01,PC30,3000,400100,Revenue,68392.71
2026-09-01,PC40,1000,400200,Revenue,446676.33
2026-09-01,PC40,2000,400200,Revenue,241941.52
2026-09-01,PC40,3000,400200,Revenue,119291.4
2026-09-01,CC100,1000,600000,Opex,279047.7
2026-09-01,CC100,1000,600100,Opex,58415.19
2026-09-01,CC100,1000,600200,Opex,21754.49
2026-09-01,CC100,1000,610000,Opex,126970.19
2026-09-01,CC100,1000,620000,Opex,19357.17
2026-09-01,CC100,1000,630000,Opex,14254.82
2026-09-01,CC100,1000,640000,Opex,11012.8
2026-09-01,CC100,2000,600000,Opex,154979.58
2026-09-01,CC100,2000,600100,Opex,32389.15
2026-09-01,CC100,2000,600200,Opex,11981.46
2026-09-01,CC100,2000,610000,Opex,69012.04
2026-09-01,CC100,2000,620000,Opex,10588.38
2026-09-01,CC100,2000,630000,Opex,7798.56
2026-09-01,CC100,2000,640000,Opex,5913.08
2026-09-01,CC100,3000,600000,Opex,76533.58
2026-09-01,CC100,3000,600100,Opex,15682.1
2026-09-01,CC100,3000,600200,Opex,5851.12
2026-09-01,CC100,3000,610000,Opex,35741.64
2026-09-01,CC100,3000,620000,Opex,4813.31
2026-09-01,CC100,3000,630000,Opex,3938.1
2026-09-01,CC100,3000,640000,Opex,3039.26
2026-09-01,CC200,1000,600000,Opex,549087.99
2026-09-01,CC200,1000,600100,Opex,112935.83
2026-09-01,CC200,1000,600200,Opex,42704.56
2026-09-01,CC200,1000,620000,Opex,11891.53
2026-09-01,CC200,1000,630000,Opex,50922.48
2026-09-01,CC200,1000,640000,Opex,22072.75
2026-09-01,CC200,1000,660000,Opex,21103.49
2026-09-01,CC200,2000,600000,Opex,300929.31
2026-09-01,CC200,2000,600100,Opex,61079.43
2026-09-01,CC200,2000,600200,Opex,22968.07
2026-09-01,CC200,2000,620000,Opex,5343.93
2026-09-01,CC200,2000,630000,Opex,28214.13
2026-09-01,CC200,2000,640000,Opex,11108.31
2026-09-01,CC200,2000,660000,Opex,11106.8
2026-09-01,CC200,3000,600000,Opex,149851.36
2026-09-01,CC200,3000,600100,Opex,30689.73
2026-09-01,CC200,3000,600200,Opex,11698.77
2026-09-01,CC200,3000,620000,Opex,2945.37
2026-09-01,CC200,3000,630000,Opex,12722.11
2026-09-01,CC200,3000,640000,Opex,6127.48
2026-09-01,CC200,3000,660000,Opex,6043.1
2026-09-01,CC300,1000,600000,Opex,91992.12
2026-09-01,CC300,1000,600100,Opex,18768.38
2026-09-01,CC300,1000,600200,Opex,6875.38
2026-09-01,CC300,1000,630000,Opex,4498.58
2026-09-01,CC300,1000,640000,Opex,3715.57
2026-09-01,CC300,1000,650000,Opex,16518.85
2026-09-01,CC300,1000,660000,Opex,3531.31
2026-09-01,CC300,2000,600000,Opex,48936.29
2026-09-01,CC300,2000,600100,Opex,10102.6
2026-09-01,CC300,2000,600200,Opex,3703.56
2026-09-01,CC300,2000,630000,Opex,2541.24
2026-09-01,CC300,2000,640000,Opex,1889.77
2026-09-01,CC300,2000,650000,Opex,10206.1
2026-09-01,CC300,2000,660000,Opex,1916.0
2026-09-01,CC300,3000,600000,Opex,25162.77
2026-09-01,CC300,3000,600100,Opex,5029.44
2026-09-01,CC300,3000,600200,Opex,1899.48
2026-09-01,CC300,3000,630000,Opex,1364.11
2026-09-01,CC300,3000,640000,Opex,1077.8
2026-09-01,CC300,3000,650000,Opex,5044.27
2026-09-01,CC300,3000,660000,Opex,930.15
2026-09-01,CC400,1000,600000,Opex,158942.79
2026-09-01,CC400,1000,600100,Opex,32483.74
2026-09-01,CC400,1000,600200,Opex,11996.46
2026-09-01,CC400,1000,620000,Opex,3984.79
2026-09-01,CC400,1000,630000,Opex,9982.05
2026-09-01,CC400,1000,640000,Opex,6469.37
2026-09-01,CC400,2000,600000,Opex,83883.5
2026-09-01,CC400,2000,600100,Opex,17642.67
2026-09-01,CC400,2000,600200,Opex,6609.55
2026-09-01,CC400,2000,620000,Opex,2229.52
2026-09-01,CC400,2000,630000,Opex,5946.7
2026-09-01,CC400,2000,640000,Opex,3055.63
2026-09-01,CC400,3000,600000,Opex,42762.06
2026-09-01,CC400,3000,600100,Opex,8749.17
2026-09-01,CC400,3000,600200,Opex,3346.04
2026-09-01,CC400,3000,620000,Opex,1004.56
2026-09-01,CC400,3000,630000,Opex,2450.97
2026-09-01,CC400,3000,640000,Opex,1711.43
2026-09-01,CC500,1000,500000,Opex,496592.4
2026-09-01,CC500,1000,500100,Opex,216396.61
2026-09-01,CC500,1000,600000,Opex,107020.79
2026-09-01,CC500,1000,600100,Opex,21716.52
2026-09-01,CC500,1000,600200,Opex,8237.34
2026-09-01,CC500,2000,500000,Opex,239457.3
2026-09-01,CC500,2000,500100,Opex,111894.38
2026-09-01,CC500,2000,600000,Opex,58201.44
2026-09-01,CC500,2000,600100,Opex,11736.8
2026-09-01,CC500,2000,600200,Opex,4442.25
2026-09-01,CC500,3000,500000,Opex,138019.36
2026-09-01,CC500,3000,500100,Opex,61390.94
2026-09-01,CC500,3000,600000,Opex,29149.87
2026-09-01,CC500,3000,600100,Opex,5871.87
2026-09-01,CC500,3000,600200,Opex,2251.01
2026-10-01,PC10,1000,400000,Revenue,1246916.28
2026-10-01,PC10,2000,400000,Revenue,688711.42
2026-10-01,PC10,3000,400000,Revenue,337531.53
2026-10-01,PC20,1000,400000,Revenue,884150.37
2026-10-01,PC20,2000,400000,Revenue,491093.25
2026-10-01,PC20,3000,400000,Revenue,242982.9
2026-10-01,PC30,1000,400100,Revenue,258235.13
2026-10-01,PC30,2000,400100,Revenue,138007.28
2026-10-01,PC30,3000,400100,Revenue,69432.08
2026-10-01,PC40,1000,400200,Revenue,445904.03
2026-10-01,PC40,2000,400200,Revenue,245502.84
2026-10-01,PC40,3000,400200,Revenue,120927.58
2026-10-01,CC100,1000,600000,Opex,280529.51
2026-10-01,CC100,1000,600100,Opex,57605.34
2026-10-01,CC100,1000,600200,Opex,22152.88
2026-10-01,CC100,1000,610000,Opex,128292.31
2026-10-01,CC100,1000,620000,Opex,19434.68
2026-10-01,CC100,1000,630000,Opex,14607.69
2026-10-01,CC100,1000,640000,Opex,11483.72
2026-10-01,CC100,2000,600000,Opex,155594.19
2026-10-01,CC100,2000,600100,Opex,32525.25
2026-10-01,CC100,2000,600200,Opex,12370.02
2026-10-01,CC100,2000,610000,Opex,68110.07
2026-10-01,CC100,2000,620000,Opex,10633.47
2026-10-01,CC100,2000,630000,Opex,7876.99
2026-10-01,CC100,2000,640000,Opex,6119.62
2026-10-01,CC100,3000,600000,Opex,77655.96
2026-10-01,CC100,3000,600100,Opex,15860.1
2026-10-01,CC100,3000,600200,Opex,5879.45
2026-10-01,CC100,3000,610000,Opex,36146.66
2026-10-01,CC100,3000,620000,Opex,4864.93
2026-10-01,CC100,3000,630000,Opex,4062.85
2026-10-01,CC100,3000,640000,Opex,3075.91
2026-10-01,CC200,1000,600000,Opex,545778.71
2026-10-01,CC200,1000,600100,Opex,117191.17
2026-10-01,CC200,1000,600200,Opex,42952.71
2026-10-01,CC200,1000,620000,Opex,11648.53
2026-10-01,CC200,1000,630000,Opex,50875.52
2026-10-01,CC200,1000,640000,Opex,21969.73
2026-10-01,CC200,1000,660000,Opex,20881.34
2026-10-01,CC200,2000,600000,Opex,301725.86
2026-10-01,CC200,2000,600100,Opex,61550.28
2026-10-01,CC200,2000,600200,Opex,23771.2
2026-10-01,CC200,2000,620000,Opex,5583.97
2026-10-01,CC200,2000,630000,Opex,28077.38
2026-10-01,CC200,2000,640000,Opex,10977.72
2026-10-01,CC200,2000,660000,Opex,11279.58
2026-10-01,CC200,3000,600000,Opex,152816.18
2026-10-01,CC200,3000,600100,Opex,31255.03
2026-10-01,CC200,3000,600200,Opex,11756.79
2026-10-01,CC200,3000,620000,Opex,2946.37
2026-10-01,CC200,3000,630000,Opex,13011.13
2026-10-01,CC200,3000,640000,Opex,6148.44
2026-10-01,CC200,3000,660000,Opex,5998.74
2026-10-01,CC300,1000,600000,Opex,93803.27
2026-10-01,CC300,1000,600100,Opex,18944.58
2026-10-01,CC300,1000,600200,Opex,6910.25
2026-10-01,CC300,1000,630000,Opex,4639.22
2026-10-01,CC300,1000,640000,Opex,3767.77
2026-10-01,CC300,1000,650000,Opex,16368.69
2026-10-01,CC300,1000,660000,Opex,3585.72
2026-10-01,CC300,2000,600000,Opex,49562.2
2026-10-01,CC300,2000,600100,Opex,10386.03
2026-10-01,CC300,2000,600200,Opex,3742.53
2026-10-01,CC300,2000,630000,Opex,2557.78
2026-10-01,CC300,2000,640000,Opex,1904.84
2026-10-01,CC300,2000,650000,Opex,10307.75
2026-10-01,CC300,2000,660000,Opex,1867.19
2026-10-01,CC300,3000,600000,Opex,25068.82
2026-10-01,CC300,3000,600100,Opex,5167.51
2026-10-01,CC300,3000,600200,Opex,1915.44
2026-10-01,CC300,3000,630000,Opex,1406.71
2026-10-01,CC300,3000,640000,Opex,1086.6
2026-10-01,CC300,3000,650000,Opex,5054.28
2026-10-01,CC300,3000,660000,Opex,916.04
2026-10-01,CC400,1000,600000,Opex,160567.75
2026-10-01,CC400,1000,600100,Opex,32991.38
2026-10-01,CC400,1000,600200,Opex,12341.66
2026-10-01,CC400,1000,620000,Opex,4060.96
2026-10-01,CC400,1000,630000,Opex,10048.3
2026-10-01,CC400,1000,640000,Opex,6495.97
2026-10-01,CC400,2000,600000,Opex,84727.34
2026-10-01,CC400,2000,600100,Opex,17676.4
2026-10-01,CC400,2000,600200,Opex,6600.6
2026-10-01,CC400,2000,620000,Opex,2285.64
2026-10-01,CC400,2000,630000,Opex,6074.72
2026-10-01,CC400,2000,640000,Opex,3092.74
2026-10-01,CC400,3000,600000,Opex,42904.17
2026-10-01,CC400,3000,600100,Opex,8861.92
2026-10-01,CC400,3000,600200,Opex,3339.31
2026-10-01,CC400,3000,620000,Opex,1023.83
2026-10-01,CC400,3000,630000,Opex,2424.47
2026-10-01,CC400,3000,640000,Opex,1664.94
2026-10-01,CC500,1000,500000,Opex,509026.72
2026-10-01,CC500,1000,500100,Opex,218680.13
2026-10-01,CC500,1000,600000,Opex,108166.36
2026-10-01,CC500,1000,600100,Opex,21780.19
2026-10-01,CC500,1000,600200,Opex,8293.04
2026-10-01,CC500,2000,500000,Opex,249037.07
2026-10-01,CC500,2000,500100,Opex,110232.01
2026-10-01,CC500,2000,600000,Opex,59209.84
2026-10-01,CC500,2000,600100,Opex,11912.64
2026-10-01,CC500,2000,600200,Opex,4509.72
2026-10-01,CC500,3000,500000,Opex,135951.25
2026-10-01,CC500,3000,500100,Opex,61529.46
2026-10-01,CC500,3000,600000,Opex,29099.71
2026-10-01,CC500,3000,600100,Opex,5916.09
2026-10-01,CC500,3000,600200,Opex,2293.28
2026-11-01,PC10,1000,400000,Revenue,1266403.27
2026-11-01,PC10,2000,400000,Revenue,694129.93
2026-11-01,PC10,3000,400000,Revenue,341892.76
2026-11-01,PC20,1000,400000,Revenue,891114.48
2026-11-01,PC20,2000,400000,Revenue,493516.55
2026-11-01,PC20,3000,400000,Revenue,245708.07
2026-11-01,PC30,1000,400100,Revenue,259907.99
2026-11-01,PC30,2000,400100,Revenue,140772.86
2026-11-01,PC30,3000,400100,Revenue,70587.18
2026-11-01,PC40,1000,400200,Revenue,448947.77
2026-11-01,PC40,2000,400200,Revenue,253622.28
2026-11-01,PC40,3000,400200,Revenue,124256.36
2026-11-01,CC100,1000,600000,Opex,286993.27
2026-11-01,CC100,1000,600100,Opex,58593.62
2026-11-01,CC100,1000,600200,Opex,22310.72
2026-11-01,CC100,1000,610000,Opex,127102.89
2026-11-01,CC100,1000,620000,Opex,20084.81
2026-11-01,CC100,1000,630000,Opex,14522.1
2026-11-01,CC100,1000,640000,Opex,11330.46
2026-11-01,CC100,2000,600000,Opex,158330.83
2026-11-01,CC100,2000,600100,Opex,32687.29
2026-11-01,CC100,2000,600200,Opex,12079.32
2026-11-01,CC100,2000,610000,Opex,70098.77
2026-11-01,CC100,2000,620000,Opex,10973.8
2026-11-01,CC100,2000,630000,Opex,7938.39
2026-11-01,CC100,2000,640000,Opex,6140.91
2026-11-01,CC100,3000,600000,Opex,78145.08
2026-11-01,CC100,3000,600100,Opex,16427.9
2026-11-01,CC100,3000,600200,Opex,5896.35
2026-11-01,CC100,3000,610000,Opex,36704.32
2026-11-01,CC100,3000,620000,Opex,4887.71
2026-11-01,CC100,3000,630000,Opex,4002.67
2026-11-01,CC100,3000,640000,Opex,3136.69
2026-11-01,CC200,1000,600000,Opex,560932.55
2026-11-01,CC200,1000,600100,Opex,116678.31
2026-11-01,CC200,1000,600200,Opex,43596.04
2026-11-01,CC200,1000,620000,Opex,12297.49
2026-11-01,CC200,1000,630000,Opex,51388.82
2026-11-01,CC200,1000,640000,Opex,22309.45
2026-11-01,CC200,1000,660000,Opex,21346.76
2026-11-01,CC200,2000,600000,Opex,304934.12
2026-11-01,CC200,2000,600100,Opex,62736.03
2026-11-01,CC200,2000,600200,Opex,23531.4
2026-11-01,CC200,2000,620000,Opex,5718.12
2026-11-01,CC200,2000,630000,Opex,28835.7
2026-11-01,CC200,2000,640000,Opex,11197.09
2026-11-01,CC200,2000,660000,Opex,11152.6
2026-11-01,CC200,3000,600000,Opex,153001.83
2026-11-01,CC200,3000,600100,Opex,32461.23
2026-11-01,CC200,3000,600200,Opex,11884.51
2026-11-01,CC200,3000,620000,Opex,3009.88
2026-11-01,CC200,3000,630000,Opex,13425.0
2026-11-01,CC200,3000,640000,Opex,6251.14
2026-11-01,CC200,3000,660000,Opex,6141.77
2026-11-01,CC300,1000,600000,Opex,91633.32
2026-11-01,CC300,1000,600100,Opex,19226.56
2026-11-01,CC300,1000,600200,Opex,6983.36
2026-11-01,CC300,1000,630000,Opex,4610.97
2026-11-01,CC300,1000,640000,Opex,3758.34
2026-11-01,CC300,1000,650000,Opex,16677.65
2026-11-01,CC300,1000,660000,Opex,3595.58
2026-11-01,CC300,2000,600000,Opex,50042.78
2026-11-01,CC300,2000,600100,Opex,10342.41
2026-11-01,CC300,2000,600200,Opex,3845.35
2026-11-01,CC300,2000,630000,Opex,2558.95
2026-11-01,CC300,2000,640000,Opex,1898.52
2026-11-01,CC300,2000,650000,Opex,10352.22
2026-11-01,CC300,2000,660000,Opex,1925.05
2026-11-01,CC300,3000,600000,Opex,25495.9
2026-11-01,CC300,3000,600100,Opex,5205.87
2026-11-01,CC300,3000,600200,Opex,1946.86
2026-11-01,CC300,3000,630000,Opex,1429.12
2026-11-01,CC300,3000,640000,Opex,1091.32
2026-11-01,CC300,3000,650000,Opex,5215.16
2026-11-01,CC300,3000,660000,Opex,948.77
2026-11-01,CC400,1000,600000,Opex,162025.76
2026-11-01,CC400,1000,600100,Opex,32674.6
2026-11-01,CC400,1000,600200,Opex,12664.29
2026-11-01,CC400,1000,620000,Opex,4061.11
2026-11-01,CC400,1000,630000,Opex,10094.42
2026-11-01,CC400,1000,640000,Opex,6524.22
2026-11-01,CC400,2000,600000,Opex,84795.87
2026-11-01,CC400,2000,600100,Opex,17705.58
2026-11-01,CC400,2000,600200,Opex,6549.89
2026-11-01,CC400,2000,620000,Opex,2314.04
2026-11-01,CC400,2000,630000,Opex,6023.01
2026-11-01,CC400,2000,640000,Opex,3238.63
2026-11-01,CC400,3000,600000,Opex,42902.36
2026-11-01,CC400,3000,600100,Opex,8846.91
2026-11-01,CC400,3000,600200,Opex,3390.6
2026-11-01,CC400,3000,620000,Opex,1037.4
2026-11-01,CC400,3000,630000,Opex,2475.91
2026-11-01,CC400,3000,640000,Opex,1724.06
2026-11-01,CC500,1000,500000,Opex,507727.87
2026-11-01,CC500,1000,500100,Opex,218871.3
2026-11-01,CC500,1000,600000,Opex,107172.94
2026-11-01,CC500,1000,600100,Opex,21534.0
2026-11-01,CC500,1000,600200,Opex,8423.07
2026-11-01,CC500,2000,500000,Opex,251132.33
2026-11-01,CC500,2000,500100,Opex,112123.46
2026-11-01,CC500,2000,600000,Opex,59774.02
2026-11-01,CC500,2000,600100,Opex,12359.16
